variable_id,variable,selection_slot,feature_id,selection_basis,original_candidate_rank,train_effect,val_effect,p_maxT,train_fwer_significant,val_same_direction,specificity_rank,specificity_ratio,specificity_margin,specificity_z
1,Subject expression / pro-drop,1,8431,original_trainval_selected,1,0.8691208362579346,0.1011118665337562,0.0004997501249375,True,True,1,1.1489836902845056,0.1126950979232788,3.4543895025960825
1,Subject expression / pro-drop,2,8041,train_fwer_plus_val_direction,2,0.863140881061554,0.962331771850586,0.0004997501249375,True,True,3,0.9209517185159736,-0.0740861892700195,1.5916623924931113
1,Subject expression / pro-drop,3,15659,train_fwer_plus_val_direction,6,0.8508999347686768,0.9474011659622192,0.0004997501249375,True,True,4,0.9204966984072904,-0.0734922289848327,1.7085046574330367
1,Subject expression / pro-drop,4,10169,train_fwer_plus_val_direction,3,0.8559886813163757,0.9625152349472046,0.0004997501249375,True,True,4,0.9038684159661964,-0.0910392999649047,1.421888501431757
1,Subject expression / pro-drop,5,1175,train_fwer_plus_val_direction,5,0.8547700047492981,0.9586631655693054,0.0004997501249375,True,True,4,0.8954494780594394,-0.0998008847236633,1.3931100891844372
2,basic_constituent_order,1,9791,original_trainval_selected,2,0.8227548599243164,0.8065271973609924,0.0004997501249375,True,True,1,1.7534949603427383,0.3535462915897369,4.426149249244496
2,basic_constituent_order,2,932,train_fwer_plus_val_direction,12,0.6950408816337585,0.7502098083496094,0.0004997501249375,True,True,1,1.7510863714379312,0.2981210649013519,5.2158114249798935
2,basic_constituent_order,3,7834,train_fwer_plus_val_direction,14,0.6794646978378296,0.6657874584197998,0.0004997501249375,True,True,1,1.5085774132220928,0.2290637493133545,4.51502668661551
2,basic_constituent_order,4,13096,train_fwer_plus_val_direction,15,0.6769956946372986,0.6330192685127258,0.0004997501249375,True,True,1,1.4994813977474315,0.2255091369152069,4.518689746466681
2,basic_constituent_order,5,9064,train_fwer_plus_val_direction,5,0.7684685587882996,0.7739357352256775,0.0004997501249375,True,True,1,1.3648438843114488,0.2054235339164734,4.1699604039783065
3,nominal_modifier_order,1,4426,original_trainval_selected,25,-0.5660698413848877,-0.0763282254338264,0.0004997501249375,True,True,1,1.6708524437274963,0.2272787988185882,5.27401448416063
3,nominal_modifier_order,2,10647,train_fwer_plus_val_direction,14,-0.5695620775222778,-0.1972762942314148,0.0004997501249375,True,True,1,1.2974003158891882,0.130559504032135,4.434640298749264
3,nominal_modifier_order,3,11666,train_fwer_plus_val_direction,20,0.5682220458984375,0.4314427673816681,0.0004997501249375,True,True,1,1.2500223237378632,0.1136525273323059,3.204666019716917
3,nominal_modifier_order,4,7775,train_fwer_plus_val_direction,19,-0.5686416029930115,-0.1414213478565216,0.0004997501249375,True,True,2,0.8691097554287571,-0.08563894033432,3.5171797284301585
3,nominal_modifier_order,5,8006,train_fwer_plus_val_direction,1,0.6698550581932068,0.2563788890838623,0.0004997501249375,True,True,3,0.7391450614957635,-0.2364014983177185,1.6722451708393289
4,case_marking,1,13269,original_trainval_selected,20,0.5107520818710327,0.3903347551822662,0.0004997501249375,True,True,1,1.75763736070454,0.2201619446277618,5.218464194372727
4,case_marking,2,9071,train_fwer_plus_val_direction,8,0.5862047672271729,0.7269218564033508,0.0004997501249375,True,True,1,1.7271141505088417,0.2467918992042541,5.166119736174016
4,case_marking,3,9920,train_fwer_plus_val_direction,23,-0.4803972542285919,-0.4313595294952392,0.0004997501249375,True,True,1,1.7001214805139686,0.1978308260440826,4.19899855606823
4,case_marking,4,3534,train_fwer_plus_val_direction,13,0.5401284694671631,0.6634310483932495,0.0004997501249375,True,True,1,1.2146621308888852,0.0954546332359314,4.376876119204188
4,case_marking,5,11875,train_fwer_plus_val_direction,10,0.5665741562843323,0.4357597529888153,0.0004997501249375,True,True,1,1.1749028720457204,0.0843435227870941,3.5686109180051333
5,morphosyntactic_alignment,1,7247,original_trainval_selected,1,-0.6954706907272339,-0.6925016641616821,0.0004997501249375,True,True,10,0.7713202343563562,-0.2061920166015625,0.9460878107483068
5,morphosyntactic_alignment,2,9810,train_fwer_plus_val_direction,7,-0.6921006441116333,-0.6740755438804626,0.0004997501249375,True,True,10,0.7315929416142496,-0.2539181113243103,0.8012552154314753
5,morphosyntactic_alignment,3,14174,train_fwer_plus_val_direction,11,-0.691173791885376,-0.6802931427955627,0.0004997501249375,True,True,10,0.7309222128843189,-0.2544450163841247,0.7752394954563379
5,morphosyntactic_alignment,4,1199,train_fwer_plus_val_direction,20,-0.6907192468643188,-0.6839175224304199,0.0004997501249375,True,True,10,0.7299576299585622,-0.2555264234542846,0.794532797647938
5,morphosyntactic_alignment,5,4605,train_fwer_plus_val_direction,9,-0.6916614174842834,-0.669039249420166,0.0004997501249375,True,True,10,0.7292424569113822,-0.2568042278289795,0.865985899082519
6,transitivity_valency,1,5382,original_trainval_selected,1,0.938974380493164,0.8023737668991089,0.0004997501249375,True,True,1,1.2441249215974397,0.184247612953186,3.5853468863816165
6,transitivity_valency,2,6102,train_fwer_plus_val_direction,3,-0.9179275035858154,-0.9451308846473694,0.0004997501249375,True,True,1,1.0599344655301202,0.0519046187400817,2.009991692480142
6,transitivity_valency,3,164,train_fwer_plus_val_direction,2,0.9193711876869202,0.8745303153991699,0.0004997501249375,True,True,2,0.9942569045130444,-0.0053105354309082,2.040776719676508
6,transitivity_valency,4,12059,train_fwer_plus_val_direction,23,-0.9111669659614564,-0.937703013420105,0.0004997501249375,True,True,2,0.9721848153074968,-0.0260694026947021,1.7096296514147706
6,transitivity_valency,5,4332,train_fwer_plus_val_direction,17,-0.9112589359283448,-0.937731385231018,0.0004997501249375,True,True,2,0.9619584291984978,-0.0360366106033325,1.6830063900075578
7,voice_and_agent_prominence,1,8235,original_trainval_selected,22,0.8548974990844727,0.9214052557945251,0.0004997501249375,True,True,1,1.6570877042909269,0.3389939069747925,5.155775273232984
7,voice_and_agent_prominence,2,10996,train_fwer_plus_val_direction,18,0.8707354664802551,0.9094770550727844,0.0004997501249375,True,True,1,1.6428689270234615,0.340726375579834,6.042995733385587
7,voice_and_agent_prominence,3,12096,train_fwer_plus_val_direction,16,0.9071592092514038,0.9608224034309388,0.0004997501249375,True,True,1,1.454132029816402,0.2833099365234375,4.913604032217903
7,voice_and_agent_prominence,4,2491,train_fwer_plus_val_direction,2,0.9547025561332704,0.9897872805595398,0.0004997501249375,True,True,1,1.4280876372184637,0.2861843705177307,5.750016379818967
7,voice_and_agent_prominence,5,10398,train_fwer_plus_val_direction,10,0.929797351360321,0.9603086709976196,0.0004997501249375,True,True,1,1.4186542065322034,0.2743893265724182,4.876829824664566
8,causativity_and_valency_change,1,8182,original_trainval_selected,2,0.8939546346664429,0.9339605569839478,0.0004997501249375,True,True,2,0.9926839704923122,-0.0065883994102478,1.793651285919563
8,causativity_and_valency_change,2,16378,train_fwer_plus_val_direction,4,-0.8733323812484741,-0.9259907603263856,0.0004997501249375,True,True,2,0.9705655789997126,-0.0264856219291687,2.0151028949559406
8,causativity_and_valency_change,3,4441,train_fwer_plus_val_direction,12,0.8628992438316345,0.8820226788520813,0.0004997501249375,True,True,2,0.9696497336737088,-0.0270089507102966,1.8620869936563724
8,causativity_and_valency_change,4,7247,train_fwer_plus_val_direction,5,-0.8697184920310974,-0.9399282336235046,0.0004997501249375,True,True,2,0.9645718792204074,-0.0319442152976989,1.6492142684221245
8,causativity_and_valency_change,5,164,train_fwer_plus_val_direction,1,0.9175019264221193,0.93803209066391,0.0004997501249375,True,True,3,0.9922353859536658,-0.0071797966957092,2.0327038880846096
9,analytic_vs_synthetic_encoding,1,6579,original_trainval_selected,24,-0.5021765828132629,-0.5613006949424744,0.0004997501249375,True,True,1,1.5500768587537568,0.1782077550888061,4.21903993426339
