variable_id,variable,selection_slot,selection_basis,train_effect,val_effect,specificity_rank,specificity_ratio,feature_id,top_examples,unique_top_tokens,unique_languages
12,optionality_vs_obligatoriness_of_marking,4,train_fwer_plus_val_direction,0.4119848310947418,0.8077634572982788,2,0.9925108204719222,47,20,8,5
26,evidentiality,3,train_fwer_plus_val_direction,0.8719886541366577,0.0935607850551605,1,3.0247040044261717,76,20,2,2
20,pronoun_richness_and_reduction,4,train_fwer_plus_val_direction,0.871849000453949,0.8883345127105713,1,1.2330575127898369,105,20,16,8
36,genericity_and_kind_level_reference,4,train_fwer_plus_val_direction,0.3381481468677521,0.3360438942909241,4,0.6934358039954318,142,20,12,9
9,analytic_vs_synthetic_encoding,2,train_fwer_plus_val_direction,-0.5066977739334106,-0.7284011840820312,1,1.52828136845627,144,20,3,1
6,transitivity_valency,3,train_fwer_plus_val_direction,0.9193711876869202,0.8745303153991699,2,0.9942569045130444,164,20,15,4
8,causativity_and_valency_change,5,train_fwer_plus_val_direction,0.9175019264221193,0.93803209066391,3,0.9922353859536658,164,20,15,4
35,focus_and_given_new_marking,3,train_fwer_plus_val_direction,0.6999995708465576,0.1616352051496505,1,1.2971052373188945,209,20,1,1
21,possession_and_alienability,5,train_fwer_plus_val_direction,-0.4958487153053283,-0.5346781611442566,11,0.5405637874757561,260,20,10,1
23,aspect_and_event_structure,3,train_fwer_plus_val_direction,-0.7055163979530334,-0.2785643339157104,2,0.7714285230142345,701,20,2,1
11,agreement_indexing_density,1,original_trainval_selected,0.8260605335235596,0.8179236054420471,1,1.6770809320356674,758,20,17,4
27,mirativity_stance_and_affect_marking,4,train_fwer_plus_val_direction,-0.9618512392044068,-0.9846693277359008,1,1.0557590314214396,785,20,2,2
13,redundancy_cumulative_exponence,4,train_fwer_plus_val_direction,-0.667447030544281,-0.5764360427856445,1,2.2542812186832775,790,20,1,1
2,basic_constituent_order,2,train_fwer_plus_val_direction,0.6950408816337585,0.7502098083496094,1,1.7510863714379312,932,20,9,3
15,number_marking,5,train_fwer_only,0.8418066501617432,-0.2112704515457153,1,1.054704857624793,995,20,5,5
1,Subject expression / pro-drop,5,train_fwer_plus_val_direction,0.8547700047492981,0.9586631655693054,4,0.8954494780594394,1175,20,9,5
5,morphosyntactic_alignment,4,train_fwer_plus_val_direction,-0.6907192468643188,-0.6839175224304199,10,0.7299576299585622,1199,20,11,5
34,topic_comment_structure,4,train_fwer_plus_val_direction,0.7794960737228394,0.5337711572647095,1,1.094299028610833,1302,20,4,1
22,tense_prominence,1,original_trainval_selected,-0.396071583032608,-0.1382241696119308,2,0.9411945546796856,1385,20,14,6
16,gender_noun_class,3,train_fwer_plus_val_direction,-0.9497388005256652,-0.9565516114234924,1,1.0223990074486906,1671,20,7,2
32,quotation_and_reported_speech_structure,1,original_trainval_selected,-0.8295131921768188,-0.8591980934143066,1,2.7008488887245767,1754,20,2,2
22,tense_prominence,2,train_fwer_plus_val_direction,0.4481317400932312,0.3517717123031616,2,0.9268903564619614,1760,20,11,6
36,genericity_and_kind_level_reference,2,train_fwer_plus_val_direction,0.3655546903610229,0.3438003659248352,3,0.9010122631450784,1858,20,3,3
27,mirativity_stance_and_affect_marking,1,original_trainval_selected,0.9746910333633424,0.8548627495765686,1,1.3951621428089385,1887,20,2,1
36,genericity_and_kind_level_reference,5,train_fwer_plus_val_direction,0.3484724462032318,0.3540540933609009,5,0.6295904967805409,2022,20,4,4
37,social_deixis_honorifics_status_encoding,1,original_trainval_selected,0.8197708129882812,0.4216081798076629,1,2.770873284695797,2081,20,4,1
24,modality_and_mood,3,train_fwer_plus_val_direction,-0.5242432951927185,-0.3806832432746887,1,1.0097458777110533,2105,20,6,3
38,speech_act_force_and_request_directness,5,train_fwer_plus_val_direction,0.4255480766296386,0.0907284989953041,3,0.7331987674435442,2145,20,11,7
11,agreement_indexing_density,2,train_fwer_plus_val_direction,0.9070153832435608,0.8764421939849854,1,1.6588684016340145,2258,20,10,2
32,quotation_and_reported_speech_structure,3,train_fwer_plus_val_direction,-0.8311352133750916,-0.875400185585022,1,2.452835399433711,2323,20,13,6
17,animacy_and_humanness,5,train_fwer_plus_val_direction,-0.4797607660293579,-0.8345274925231934,3,0.882908171100376,2360,20,2,1
37,social_deixis_honorifics_status_encoding,3,train_fwer_plus_val_direction,0.8767595887184143,0.8749803304672241,1,1.6613776292522755,2373,20,3,1
7,voice_and_agent_prominence,4,train_fwer_plus_val_direction,0.9547025561332704,0.9897872805595398,1,1.4280876372184637,2491,20,1,1
34,topic_comment_structure,3,train_fwer_plus_val_direction,-0.8676437735557556,-0.5782672762870789,1,1.2272102988009603,2509,20,4,1
40,orthographic_and_tokenization_interface,4,train_fwer_plus_val_direction,-0.4717598557472229,-0.399207592010498,6,0.7476976473194443,2602,20,1,5
33,discourse_relation_marking,5,train_fwer_only,-0.8789948225021362,0.1647526770830154,3,0.9214073538962114,2668,20,10,5
31,subordination_and_embedding,3,train_fwer_plus_val_direction,0.9437970519065856,0.9816505908966064,1,1.4151908158158155,2726,20,14,6
17,animacy_and_humanness,1,original_trainval_selected,0.4994560480117798,0.5734819173812866,2,0.8648513024351094,3104,20,2,3
40,orthographic_and_tokenization_interface,1,original_trainval_selected,-0.4180063605308532,-0.1414213478565216,3,0.8358437310495543,3132,20,1,4
37,social_deixis_honorifics_status_encoding,5,train_fwer_plus_val_direction,0.8244761228561401,0.740835428237915,1,1.5107343902187027,3341,20,11,1
38,speech_act_force_and_request_directness,1,original_trainval_selected,0.4395684003829956,0.0573147684335708,1,1.5016185486613225,3396,20,10,5
17,animacy_and_humanness,4,train_fwer_plus_val_direction,0.5337948203086853,0.1376341432332992,3,0.92140468571525,3428,20,12,7
28,negation_and_polarity_structure,5,train_fwer_plus_val_direction,-0.5680692791938782,-0.3765927851200104,1,1.5135722694783502,3522,20,7,6
4,case_marking,4,train_fwer_plus_val_direction,0.5401284694671631,0.6634310483932495,1,1.2146621308888852,3534,20,10,1
16,gender_noun_class,4,train_fwer_plus_val_direction,-0.924728274345398,-0.915424942970276,1,1.0064670175746118,3570,20,4,3
29,quantifier_scope_and_distributivity,2,train_fwer_plus_val_direction,0.6501227617263794,0.0784577950835228,7,0.7136042219383224,3720,20,2,2
31,subordination_and_embedding,5,train_fwer_plus_val_direction,0.954775094985962,0.9880829453468324,1,1.361009846938871,3830,20,1,1
35,focus_and_given_new_marking,5,train_fwer_plus_val_direction,0.6990575790405273,0.680551290512085,2,0.9818896635790686,3848,20,2,1
24,modality_and_mood,1,original_trainval_selected,0.4833943247795105,0.2077225446701049,1,2.194255023359247,3941,20,3,2
14,definiteness_and_specificity,2,train_fwer_plus_val_direction,-0.5475464463233948,-0.6267436742782593,1,1.2709199011548786,3973,20,5,2
33,discourse_relation_marking,3,train_fwer_only,-0.881783127784729,0.170199766755104,3,0.9345856751621404,4016,20,3,1
