variable_id,variable,sae_tier,sae_feature_id,sae_train_effect,sae_validation_effect,sae_test_effect,sae_specificity_rank,sae_specificity_ratio,sae_marker_direction,sae_domain_direction,probe_l12_delta_val_auroc,probe_l12_delta_test_auroc,probe_l12_sentence_val_auroc,probe_l12_sentence_test_auroc,probe_best_sentence_test_auroc,probe_best_sentence_layer,probe_text_test_auroc,probe_activation_minus_text,probe_delta_direction_test_auroc,probe_split_control_strength,probe_seed_count,probe_level1_pass_count,probe_level3_pass_count,probe_level4_pass_count,probe_core_134_pass_count,probe_core_status,probe_learned_direction_viability_status,combined_category
1,Subject expression / pro-drop,D,8431,0.8691208362579346,0.10111186653375626,-0.24833622574806213,1,1.1489836902845056,0.0,0.3333333333333333,1.0,1.0,0.9683999999999999,0.9503999999999999,0.95,12,0.833,0.117,1.0,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,failed,probe_robust_SAE_weak_or_unstable
2,basic_constituent_order,C,9791,0.8227548599243164,0.8065271973609924,0.03335511311888695,1,1.7534949603427383,0.5,0.3333333333333333,0.9740000000000001,0.6220000000000001,0.8552,0.5684,0.593,8,0.618,-0.025,0.622,strong_test_marker_and_domain_holdout,3,0,0,0,0,no_core_pass_0of3,not_run,both_weak_or_unstable
3,nominal_modifier_order,D,4426,-0.5660698413848877,-0.07632822543382645,0.19893653690814972,1,1.6708524437274965,0.0,0.0,0.9788,0.456,0.8351999999999999,0.52,0.531,9,0.514,0.017,0.532,strong_test_marker_and_domain_holdout,3,0,0,0,0,no_core_pass_0of3,not_run,both_weak_or_unstable
4,case_marking,A,13269,0.5107520818710327,0.39033475518226624,0.584809422492981,1,1.7576373607045401,1.0,1.0,0.9995999999999999,0.9995999999999999,0.9828,0.9848,0.992,18,0.982,0.01,0.966,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,failed,convergent_probe_and_sparse_SAE
5,morphosyntactic_alignment,B1,7247,-0.6954706907272339,-0.6925016641616821,-0.6649801731109619,10,0.7713202343563562,1.0,1.0,0.9743999999999999,0.9108,0.8168,0.8032,0.821,8,0.876,-0.055,0.968,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
6,transitivity_valency,B2,5382,0.9389743804931641,0.8023737668991089,0.07523857802152634,1,1.2441249215974395,0.5,0.6666666666666666,0.986,1.0,0.8336,0.9299999999999999,0.964,14,0.996,-0.032,1.0,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,failed,convergent_probe_and_sparse_SAE
7,voice_and_agent_prominence,B2,8235,0.8548974990844727,0.9214052557945251,0.622924268245697,1,1.6570877042909269,0.5,1.0,1.0,1.0,1.0,0.9872,0.86,0,0.629,0.231,0.98,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
8,causativity_and_valency_change,B1,8182,0.8939546346664429,0.9339605569839478,0.7827286124229431,2,0.9926839704923122,1.0,1.0,1.0,1.0,0.992,0.9236000000000001,0.857,13,0.749,0.109,0.96,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
9,analytic_vs_synthetic_encoding,B2,6579,-0.5021765828132629,-0.5613006949424744,-0.4795279800891876,1,1.5500768587537568,0.5,1.0,1.0,1.0,0.9952,0.9812,0.995,7,0.978,0.017,1.0,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,failed,convergent_probe_and_sparse_SAE
10,morphological_segmentation_type,A,6125,-0.7077662348747253,-0.5309546589851379,-0.45586657524108887,1,5.114620424222409,1.0,1.0,0.966,0.9832,0.868,0.9144,0.956,1,0.861,0.095,0.977,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
