pooling,feature_id,top25_candidate_occurrences,trainval_candidate_occurrences,full_survival_occurrences
final,8182,21,20,15
final,9465,23,19,17
final,164,23,18,14
final,15059,22,18,15
final,14004,21,18,17
final,12897,20,18,14
final,9622,18,17,10
final,11776,18,16,13
final,14795,18,16,14
final,5159,18,15,14
final,7918,17,15,13
final,14168,16,15,12
final,2734,17,14,12
final,4441,16,14,11
final,8686,16,14,13
final,15659,17,13,11
final,4549,16,13,11
final,7912,13,13,11
final,8003,17,12,10
final,3288,15,12,9
final,105,14,12,10
final,661,14,12,8
final,9083,14,12,11
final,13627,12,12,11
final,2993,15,11,10
final,13304,14,11,9
final,1546,13,11,10
final,5219,11,11,10
final,5697,13,10,10
final,12998,13,10,8
final,13033,13,10,8
final,16335,13,10,8
final,4825,12,10,8
final,443,10,10,7
final,2375,11,9,6
final,4253,11,9,7
final,6102,11,9,8
final,10074,10,9,8
final,1828,9,9,7
final,6047,11,8,6
final,8793,10,8,6
final,12178,10,8,7
final,11483,9,8,6
final,1633,10,7,6
final,2084,10,7,6
final,7247,9,7,5
final,9390,9,7,6
final,9531,9,7,6
final,15282,9,7,6
final,16378,8,7,6
mean,8003,8,7,6
mean,4549,7,7,6
final,1838,12,6,4
final,13191,11,6,5
final,4080,9,6,6
final,16084,9,6,6
final,7038,8,6,2
final,10152,8,6,5
final,14465,7,6,4
mean,164,6,6,5
mean,5159,6,6,6
mean,14043,6,6,6
final,4923,10,5,4
final,4257,9,5,5
final,8006,9,5,5
final,8113,6,5,5
mean,7247,6,5,5
mean,8006,6,5,4
mean,9465,6,5,4
mean,7918,5,5,4
mean,11776,5,5,5
final,3044,7,4,4
final,6051,7,4,4
mean,2993,5,4,4
mean,9622,5,4,4
final,13774,4,4,3
mean,5530,4,4,4
mean,8113,4,4,3
mean,8628,4,4,4
final,3874,5,3,3
final,6119,5,3,3
mean,16084,5,3,2
mean,16378,5,3,3
final,6858,4,3,1
final,15870,4,3,3
mean,260,4,3,3
mean,661,4,3,3
mean,4230,4,3,2
mean,5697,4,3,3
mean,7948,4,3,2
mean,12178,4,3,2
final,2352,3,3,2
final,9880,3,3,1
final,11611,3,3,3
final,13711,3,3,3
final,16200,3,3,3
mean,2258,3,3,3
mean,7038,3,3,3
mean,7486,3,3,2
mean,8182,3,3,3
mean,11483,3,3,3
mean,13304,3,3,3
mean,14004,3,3,3
mean,15059,3,3,3
mean,15659,3,3,3
final,7700,5,2,1
final,8666,4,2,2
final,12289,4,2,2
final,13190,4,2,1
mean,2375,4,2,2
final,2195,3,2,2
final,4730,3,2,1
final,4806,3,2,1
final,7418,3,2,2
final,7799,3,2,1
mean,1838,3,2,1
mean,2084,3,2,2
mean,6102,3,2,2
mean,16335,3,2,2
final,46,2,2,2
final,6235,2,2,2
final,8074,2,2,1
final,10521,2,2,2
final,11367,2,2,1
final,14043,2,2,1
final,15360,2,2,1
mean,105,2,2,1
mean,701,2,2,1
mean,968,2,2,2
mean,1302,2,2,1
mean,1445,2,2,1
mean,1482,2,2,2
mean,1887,2,2,2
mean,1893,2,2,2
mean,2389,2,2,2
mean,2602,2,2,1
mean,2734,2,2,2
mean,2958,2,2,2
mean,3570,2,2,2
mean,4080,2,2,0
mean,4253,2,2,1
mean,4257,2,2,2
mean,4355,2,2,2
mean,4441,2,2,2
mean,4567,2,2,2
mean,5282,2,2,2
mean,5322,2,2,2
mean,5382,2,2,2
mean,5482,2,2,2
mean,5628,2,2,1
mean,5634,2,2,2
mean,6166,2,2,2
mean,6188,2,2,2
mean,6943,2,2,2
mean,6944,2,2,2
mean,8041,2,2,2
mean,8431,2,2,0
mean,8449,2,2,2
mean,9375,2,2,2
mean,10074,2,2,2
mean,10099,2,2,2
mean,10398,2,2,1
mean,10578,2,2,1
mean,10896,2,2,2
mean,11338,2,2,1
mean,11416,2,2,2
mean,12072,2,2,2
mean,12291,2,2,2
mean,12564,2,2,2
mean,12565,2,2,2
mean,12722,2,2,2
mean,13034,2,2,2
mean,13189,2,2,1
mean,13219,2,2,2
mean,13837,2,2,2
mean,14048,2,2,2
mean,14054,2,2,2
mean,14168,2,2,2
mean,14174,2,2,2
mean,14465,2,2,2
mean,14791,2,2,1
mean,14916,2,2,2
mean,15120,2,2,2
mean,15282,2,2,2
mean,15327,2,2,2
mean,15741,2,2,2
final,8923,3,1,1
final,16014,3,1,1
mean,1546,3,1,1
mean,12998,3,1,1
mean,13191,3,1,1
mean,13263,3,1,1
final,2895,2,1,1
final,3947,2,1,1
final,6618,2,1,1
final,13357,2,1,1
mean,587,2,1,1
mean,805,2,1,1
mean,1129,2,1,1
mean,1349,2,1,1
mean,2054,2,1,1
mean,2352,2,1,1
mean,2491,2,1,1
mean,2706,2,1,1
mean,3044,2,1,1
mean,3409,2,1,1
mean,3638,2,1,1
mean,3830,2,1,0
mean,4425,2,1,1
mean,4591,2,1,1
mean,4804,2,1,1
mean,4871,2,1,1
mean,5075,2,1,0
mean,5340,2,1,1
mean,6051,2,1,0
mean,6549,2,1,1
mean,6858,2,1,1
mean,7097,2,1,1
mean,8214,2,1,1
mean,8666,2,1,1
mean,8793,2,1,0
mean,9083,2,1,1
mean,9331,2,1,1
mean,9390,2,1,0
mean,9919,2,1,1
mean,10739,2,1,1
mean,10770,2,1,1
mean,11197,2,1,1
mean,12096,2,1,1
mean,12611,2,1,1
mean,12770,2,1,1
mean,12780,2,1,1
mean,12954,2,1,1
mean,12993,2,1,0
mean,13451,2,1,1
mean,14496,2,1,1
mean,15373,2,1,1
mean,15885,2,1,1
mean,15932,2,1,0
final,214,1,1,1
final,398,1,1,1
final,648,1,1,1
final,1193,1,1,1
final,1228,1,1,0
final,1825,1,1,1
final,1887,1,1,1
final,1893,1,1,1
final,2384,1,1,1
final,2817,1,1,1
final,2958,1,1,1
final,3088,1,1,0
final,3114,1,1,1
final,3522,1,1,1
final,3617,1,1,1
final,3883,1,1,0
final,4025,1,1,1
final,4578,1,1,1
final,4585,1,1,1
final,4731,1,1,1
final,4840,1,1,1
final,4894,1,1,1
final,4929,1,1,1
final,5475,1,1,1
final,5516,1,1,1
final,5901,1,1,0
final,6356,1,1,0
final,6629,1,1,1
final,6645,1,1,1
final,6709,1,1,1
final,6710,1,1,0
final,7313,1,1,1
final,7552,1,1,0
final,7745,1,1,0
final,7842,1,1,0
final,8241,1,1,0
final,8952,1,1,1
final,9026,1,1,0
final,9359,1,1,0
final,9467,1,1,1
final,9551,1,1,1
final,9565,1,1,1
final,9899,1,1,1
final,9958,1,1,1
final,10061,1,1,1
final,10068,1,1,1
final,10655,1,1,0
final,10982,1,1,1
final,10995,1,1,1
final,11476,1,1,1
final,11524,1,1,1
final,12353,1,1,1
final,12455,1,1,1
final,12610,1,1,0
final,13197,1,1,0
final,13305,1,1,1
final,13440,1,1,1
final,14073,1,1,1
final,14161,1,1,1
final,14256,1,1,1
final,14406,1,1,0
final,14563,1,1,1
final,14791,1,1,0
final,15120,1,1,1
final,15531,1,1,1
final,15772,1,1,1
final,15899,1,1,0
mean,46,1,1,1
mean,47,1,1,1
mean,76,1,1,0
mean,91,1,1,1
mean,142,1,1,1
mean,144,1,1,1
mean,156,1,1,1
mean,172,1,1,1
mean,188,1,1,1
mean,196,1,1,1
mean,209,1,1,1
mean,214,1,1,1
mean,223,1,1,1
mean,261,1,1,1
mean,308,1,1,1
mean,339,1,1,1
mean,443,1,1,0
mean,476,1,1,1
mean,604,1,1,1
mean,665,1,1,1
mean,758,1,1,1
mean,785,1,1,1
mean,790,1,1,1
mean,873,1,1,1
mean,932,1,1,1
mean,981,1,1,1
mean,1019,1,1,1
mean,1061,1,1,1
mean,1121,1,1,1
mean,1165,1,1,0
mean,1175,1,1,1
mean,1199,1,1,1
mean,1220,1,1,1
mean,1234,1,1,1
mean,1240,1,1,1
mean,1261,1,1,1
mean,1343,1,1,0
mean,1360,1,1,1
mean,1371,1,1,1
mean,1385,1,1,0
mean,1426,1,1,1
mean,1435,1,1,1
mean,1452,1,1,1
mean,1525,1,1,1
mean,1551,1,1,0
mean,1570,1,1,1
mean,1645,1,1,1
mean,1671,1,1,1
mean,1713,1,1,1
mean,1740,1,1,0
mean,1754,1,1,1
mean,1759,1,1,1
mean,1760,1,1,1
mean,1794,1,1,1
mean,1852,1,1,1
mean,1858,1,1,1
mean,1943,1,1,1
mean,2022,1,1,1
mean,2039,1,1,1
mean,2081,1,1,1
mean,2105,1,1,1
mean,2145,1,1,0
mean,2178,1,1,1
mean,2195,1,1,1
mean,2243,1,1,1
mean,2296,1,1,1
mean,2314,1,1,1
mean,2323,1,1,1
mean,2360,1,1,1
mean,2373,1,1,1
mean,2384,1,1,1
mean,2400,1,1,1
mean,2410,1,1,1
mean,2421,1,1,0
mean,2443,1,1,1
mean,2500,1,1,0
mean,2506,1,1,1
mean,2509,1,1,1
mean,2573,1,1,0
mean,2578,1,1,0
mean,2693,1,1,1
mean,2703,1,1,1
mean,2726,1,1,0
mean,2817,1,1,1
mean,2895,1,1,1
mean,2953,1,1,0
mean,2996,1,1,1
mean,3011,1,1,1
mean,3017,1,1,0
mean,3024,1,1,1
mean,3104,1,1,1
mean,3113,1,1,1
mean,3132,1,1,0
mean,3241,1,1,1
mean,3278,1,1,1
mean,3288,1,1,0
mean,3290,1,1,1
mean,3312,1,1,1
mean,3336,1,1,0
mean,3341,1,1,1
mean,3368,1,1,0
mean,3387,1,1,1
mean,3396,1,1,1
mean,3428,1,1,1
mean,3449,1,1,1
mean,3468,1,1,1
mean,3484,1,1,1
mean,3522,1,1,1
mean,3534,1,1,1
mean,3626,1,1,1
mean,3663,1,1,0
mean,3720,1,1,0
mean,3835,1,1,1
mean,3848,1,1,1
mean,3863,1,1,1
mean,3898,1,1,0
mean,3909,1,1,1
mean,3941,1,1,1
mean,3947,1,1,1
mean,3973,1,1,1
mean,4032,1,1,1
mean,4048,1,1,1
mean,4071,1,1,1
mean,4095,1,1,1
mean,4100,1,1,1
mean,4150,1,1,1
mean,4202,1,1,0
mean,4217,1,1,1
mean,4218,1,1,1
mean,4222,1,1,1
mean,4252,1,1,1
mean,4255,1,1,1
mean,4281,1,1,1
mean,4288,1,1,1
mean,4332,1,1,1
mean,4350,1,1,1
mean,4362,1,1,1
mean,4382,1,1,1
mean,4396,1,1,1
mean,4399,1,1,1
mean,4419,1,1,0
mean,4426,1,1,0
mean,4437,1,1,1
mean,4448,1,1,1
mean,4454,1,1,1
mean,4491,1,1,1
mean,4578,1,1,1
mean,4605,1,1,1
mean,4617,1,1,1
mean,4690,1,1,0
mean,4708,1,1,1
mean,4713,1,1,1
mean,4723,1,1,1
mean,4728,1,1,1
mean,4732,1,1,1
mean,4764,1,1,1
mean,4800,1,1,1
mean,4806,1,1,1
mean,4814,1,1,1
mean,4828,1,1,1
mean,4843,1,1,1
mean,4847,1,1,0
mean,4866,1,1,1
mean,4874,1,1,0
mean,4922,1,1,1
mean,5045,1,1,1
mean,5179,1,1,1
mean,5205,1,1,1
mean,5288,1,1,1
mean,5296,1,1,1
mean,5313,1,1,1
mean,5475,1,1,1
mean,5483,1,1,1
mean,5487,1,1,1
mean,5496,1,1,1
mean,5584,1,1,0
mean,5680,1,1,1
mean,5688,1,1,1
mean,5694,1,1,1
mean,5707,1,1,1
mean,5712,1,1,1
mean,5719,1,1,1
mean,5836,1,1,1
mean,5860,1,1,0
mean,5942,1,1,1
mean,5997,1,1,0
mean,6025,1,1,1
mean,6029,1,1,1
mean,6043,1,1,1
mean,6062,1,1,1
mean,6087,1,1,1
mean,6125,1,1,1
mean,6154,1,1,1
mean,6157,1,1,1
mean,6216,1,1,0
mean,6235,1,1,0
mean,6268,1,1,1
mean,6366,1,1,1
mean,6379,1,1,1
mean,6380,1,1,1
mean,6385,1,1,1
mean,6396,1,1,1
mean,6403,1,1,1
mean,6410,1,1,1
mean,6446,1,1,1
mean,6546,1,1,0
mean,6567,1,1,1
mean,6579,1,1,1
mean,6618,1,1,1
mean,6645,1,1,1
mean,6750,1,1,0
mean,6760,1,1,1
mean,6803,1,1,0
mean,6863,1,1,0
mean,6888,1,1,1
mean,6900,1,1,0
mean,6960,1,1,0
mean,7067,1,1,1
mean,7096,1,1,1
mean,7118,1,1,1
mean,7136,1,1,1
mean,7165,1,1,1
mean,7268,1,1,1
mean,7326,1,1,1
mean,7402,1,1,1
mean,7415,1,1,1
mean,7457,1,1,1
mean,7485,1,1,1
mean,7551,1,1,1
mean,7643,1,1,1
mean,7644,1,1,1
mean,7700,1,1,0
mean,7711,1,1,1
mean,7775,1,1,0
mean,7803,1,1,0
mean,7822,1,1,1
mean,7834,1,1,0
mean,7865,1,1,1
mean,7889,1,1,1
mean,7896,1,1,1
mean,7912,1,1,1
mean,7920,1,1,1
mean,7954,1,1,0
mean,7960,1,1,1
mean,7982,1,1,1
mean,7989,1,1,1
mean,8026,1,1,1
mean,8116,1,1,1
mean,8119,1,1,1
mean,8134,1,1,1
mean,8172,1,1,1
mean,8210,1,1,0
mean,8235,1,1,1
mean,8334,1,1,0
mean,8362,1,1,1
mean,8409,1,1,1
mean,8418,1,1,1
mean,8433,1,1,1
mean,8487,1,1,1
mean,8508,1,1,1
mean,8511,1,1,1
mean,8551,1,1,1
mean,8695,1,1,1
mean,8711,1,1,1
mean,8745,1,1,1
mean,8792,1,1,1
mean,8882,1,1,1
mean,8911,1,1,1
mean,8920,1,1,1
mean,8926,1,1,1
mean,8975,1,1,1
mean,9064,1,1,1
mean,9071,1,1,1
mean,9188,1,1,1
mean,9241,1,1,1
mean,9256,1,1,1
mean,9261,1,1,1
mean,9265,1,1,1
mean,9319,1,1,1
mean,9326,1,1,1
mean,9339,1,1,1
mean,9444,1,1,1
mean,9484,1,1,1
mean,9531,1,1,1
mean,9535,1,1,1
mean,9576,1,1,1
mean,9587,1,1,1
mean,9607,1,1,1
mean,9646,1,1,0
mean,9673,1,1,1
mean,9674,1,1,1
mean,9728,1,1,0
mean,9749,1,1,1
mean,9790,1,1,0
mean,9791,1,1,1
mean,9792,1,1,1
mean,9810,1,1,1
mean,9815,1,1,1
mean,9899,1,1,1
mean,9920,1,1,1
mean,9938,1,1,1
mean,10061,1,1,1
mean,10062,1,1,1
mean,10086,1,1,1
mean,10106,1,1,1
mean,10126,1,1,0
mean,10157,1,1,1
mean,10169,1,1,1
mean,10229,1,1,1
mean,10244,1,1,1
mean,10331,1,1,1
mean,10358,1,1,1
mean,10373,1,1,1
mean,10407,1,1,0
mean,10454,1,1,1
mean,10494,1,1,1
mean,10504,1,1,1
mean,10551,1,1,1
mean,10606,1,1,1
mean,10612,1,1,1
mean,10626,1,1,1
mean,10641,1,1,1
mean,10647,1,1,1
mean,10649,1,1,1
mean,10670,1,1,1
mean,10712,1,1,0
mean,10816,1,1,1
mean,10819,1,1,1
mean,10848,1,1,0
mean,10935,1,1,1
mean,10966,1,1,1
mean,10996,1,1,1
mean,11000,1,1,1
mean,11003,1,1,1
mean,11021,1,1,1
mean,11054,1,1,1
mean,11086,1,1,1
mean,11108,1,1,1
mean,11120,1,1,1
mean,11147,1,1,1
mean,11196,1,1,1
mean,11375,1,1,0
mean,11434,1,1,1
mean,11451,1,1,1
mean,11461,1,1,0
mean,11486,1,1,1
mean,11569,1,1,1
mean,11611,1,1,1
mean,11663,1,1,1
mean,11666,1,1,1
mean,11716,1,1,1
mean,11740,1,1,0
mean,11745,1,1,1
mean,11765,1,1,1
mean,11774,1,1,1
mean,11796,1,1,1
mean,11810,1,1,1
mean,11822,1,1,1
mean,11834,1,1,1
mean,11839,1,1,1
mean,11858,1,1,0
mean,11871,1,1,1
mean,11875,1,1,1
mean,11887,1,1,1
mean,11913,1,1,1
mean,11957,1,1,0
mean,12008,1,1,1
mean,12022,1,1,1
mean,12059,1,1,1
mean,12064,1,1,1
mean,12144,1,1,1
mean,12169,1,1,1
mean,12235,1,1,1
mean,12284,1,1,0
mean,12388,1,1,1
mean,12413,1,1,1
mean,12503,1,1,1
mean,12551,1,1,1
mean,12588,1,1,1
mean,12619,1,1,0
mean,12621,1,1,1
mean,12851,1,1,1
mean,12897,1,1,1
mean,12915,1,1,0
mean,12965,1,1,1
mean,12989,1,1,1
mean,12995,1,1,1
mean,13008,1,1,1
mean,13061,1,1,1
mean,13096,1,1,0
mean,13108,1,1,1
mean,13114,1,1,1
mean,13154,1,1,1
mean,13175,1,1,1
mean,13197,1,1,1
mean,13198,1,1,1
mean,13203,1,1,0
mean,13235,1,1,1
mean,13236,1,1,1
mean,13269,1,1,1
mean,13311,1,1,1
mean,13390,1,1,1
mean,13521,1,1,1
mean,13627,1,1,1
mean,13634,1,1,1
mean,13651,1,1,1
mean,13658,1,1,1
mean,13711,1,1,1
mean,13797,1,1,1
mean,13817,1,1,1
mean,13819,1,1,1
mean,13847,1,1,1
mean,13857,1,1,1
mean,13964,1,1,1
mean,13976,1,1,0
mean,13981,1,1,1
mean,13999,1,1,0
mean,14021,1,1,1
mean,14050,1,1,1
mean,14143,1,1,1
mean,14151,1,1,1
mean,14152,1,1,1
mean,14161,1,1,1
mean,14169,1,1,1
mean,14198,1,1,1
mean,14220,1,1,1
mean,14259,1,1,1
mean,14319,1,1,1
mean,14403,1,1,1
mean,14404,1,1,1
mean,14406,1,1,1
mean,14441,1,1,1
mean,14479,1,1,1
mean,14481,1,1,1
mean,14506,1,1,1
mean,14528,1,1,1
mean,14560,1,1,0
mean,14768,1,1,1
mean,14770,1,1,1
mean,14795,1,1,1
mean,14843,1,1,1
mean,14906,1,1,1
mean,14976,1,1,1
mean,15081,1,1,1
mean,15113,1,1,1
mean,15170,1,1,0
mean,15185,1,1,1
mean,15221,1,1,1
mean,15238,1,1,1
mean,15244,1,1,1
mean,15325,1,1,1
mean,15357,1,1,1
mean,15444,1,1,1
mean,15482,1,1,1
mean,15495,1,1,1
mean,15531,1,1,1
mean,15633,1,1,1
mean,15695,1,1,1
mean,15825,1,1,0
mean,15834,1,1,1
mean,15843,1,1,1
mean,15859,1,1,1
mean,15864,1,1,1
mean,15938,1,1,0
mean,15943,1,1,1
mean,15951,1,1,1
mean,15975,1,1,1
mean,16009,1,1,1
mean,16054,1,1,1
mean,16078,1,1,1
mean,16080,1,1,1
mean,16131,1,1,1
mean,16180,1,1,0
mean,16183,1,1,1
mean,16200,1,1,1
mean,16216,1,1,1
mean,16228,1,1,1
mean,16259,1,1,1
mean,16261,1,1,1
mean,16307,1,1,1
mean,16332,1,1,1
mean,16359,1,1,1
mean,16361,1,1,1
mean,4923,3,0,0
final,471,2,0,0
final,4359,2,0,0
final,15090,2,0,0
mean,3423,2,0,0
mean,5019,2,0,0
mean,15396,2,0,0
final,1360,1,0,0
final,3428,1,0,0
final,4107,1,0,0
final,5205,1,0,0
final,6403,1,0,0
final,6578,1,0,0
final,7175,1,0,0
final,8531,1,0,0
final,8655,1,0,0
final,8684,1,0,0
final,9136,1,0,0
final,10739,1,0,0
final,11086,1,0,0
final,11328,1,0,0
final,11389,1,0,0
final,12460,1,0,0
final,15373,1,0,0
final,15419,1,0,0
final,15793,1,0,0
mean,15,1,0,0
mean,508,1,0,0
mean,626,1,0,0
mean,722,1,0,0
mean,753,1,0,0
mean,770,1,0,0
mean,788,1,0,0
mean,799,1,0,0
mean,844,1,0,0
mean,949,1,0,0
mean,995,1,0,0
mean,996,1,0,0
mean,1358,1,0,0
mean,1387,1,0,0
mean,1604,1,0,0
mean,1633,1,0,0
mean,1644,1,0,0
mean,1662,1,0,0
mean,1664,1,0,0
mean,1748,1,0,0
mean,1788,1,0,0
mean,2267,1,0,0
mean,2562,1,0,0
mean,2620,1,0,0
mean,2668,1,0,0
mean,2709,1,0,0
mean,2933,1,0,0
mean,3205,1,0,0
mean,3265,1,0,0
mean,3366,1,0,0
mean,3485,1,0,0
mean,3546,1,0,0
mean,3804,1,0,0
mean,4016,1,0,0
mean,4216,1,0,0
mean,4241,1,0,0
mean,4258,1,0,0
mean,4429,1,0,0
mean,4468,1,0,0
mean,4494,1,0,0
mean,4643,1,0,0
mean,4718,1,0,0
mean,4934,1,0,0
mean,4939,1,0,0
mean,4948,1,0,0
mean,4966,1,0,0
mean,5037,1,0,0
mean,5083,1,0,0
mean,5376,1,0,0
mean,5517,1,0,0
mean,5640,1,0,0
mean,5705,1,0,0
mean,6047,1,0,0
mean,6054,1,0,0
mean,6132,1,0,0
mean,6187,1,0,0
mean,6505,1,0,0
mean,6606,1,0,0
mean,6833,1,0,0
mean,6836,1,0,0
mean,7036,1,0,0
mean,7070,1,0,0
mean,7093,1,0,0
mean,7145,1,0,0
mean,7274,1,0,0
mean,7845,1,0,0
mean,7931,1,0,0
mean,8219,1,0,0
mean,8361,1,0,0
mean,8415,1,0,0
mean,8497,1,0,0
mean,8633,1,0,0
mean,8684,1,0,0
mean,8685,1,0,0
mean,8768,1,0,0
mean,8880,1,0,0
mean,8957,1,0,0
mean,8961,1,0,0
mean,9027,1,0,0
mean,9069,1,0,0
mean,9200,1,0,0
mean,9414,1,0,0
mean,9464,1,0,0
mean,9675,1,0,0
mean,9764,1,0,0
mean,9898,1,0,0
mean,10200,1,0,0
mean,10264,1,0,0
mean,10569,1,0,0
mean,10673,1,0,0
mean,10702,1,0,0
mean,10956,1,0,0
mean,11017,1,0,0
mean,11027,1,0,0
mean,11106,1,0,0
mean,11143,1,0,0
mean,11159,1,0,0
mean,11261,1,0,0
mean,11385,1,0,0
mean,11386,1,0,0
mean,11602,1,0,0
mean,11694,1,0,0
mean,11816,1,0,0
mean,12050,1,0,0
mean,12099,1,0,0
mean,12270,1,0,0
mean,12279,1,0,0
mean,12493,1,0,0
mean,12631,1,0,0
mean,12769,1,0,0
mean,13010,1,0,0
mean,13091,1,0,0
mean,13369,1,0,0
mean,13728,1,0,0
mean,14103,1,0,0
mean,14249,1,0,0
mean,14256,1,0,0
mean,14578,1,0,0
mean,14615,1,0,0
mean,14790,1,0,0
mean,15159,1,0,0
mean,15379,1,0,0
mean,15548,1,0,0
mean,15596,1,0,0
mean,15620,1,0,0
mean,15649,1,0,0
mean,15658,1,0,0
mean,15739,1,0,0
mean,16005,1,0,0
mean,16221,1,0,0
