variable_id,variable,pooling,feature_id,field,split,eligible_groups,same_direction_fraction,weighted_same_direction_fraction,median_abs_effect,minimum_abs_effect,unseen_groups,unseen_same_direction_fraction,unseen_median_abs_effect
1,Subject expression / pro-drop,mean,8431,marker_family,train,3,1.0,1.0,0.8722830226076252,0.7970095426600027,0,,
1,Subject expression / pro-drop,mean,8431,marker_family,val,1,1.0,1.0,0.10111185355544505,0.10111185355544505,1,1.0,0.10111185355544505
1,Subject expression / pro-drop,mean,8431,marker_family,test,2,0.0,0.0,0.2482957506787826,0.19321861668583706,2,0.0,0.2482957506787826
1,Subject expression / pro-drop,mean,8431,lexical_domain,train,6,1.0,1.0,0.8786557653537805,0.7510662986303066,0,,
1,Subject expression / pro-drop,mean,8431,lexical_domain,val,2,0.5,0.46,0.16614694283509215,0.07178246059000597,2,0.5,0.16614694283509215
1,Subject expression / pro-drop,mean,8431,lexical_domain,test,3,0.3333333333333333,0.34,0.3264398174350706,0.1767974362286757,3,0.3333333333333333,0.3264398174350706
1,Subject expression / pro-drop,final,4441,marker_family,train,3,1.0,1.0,0.8501343502844816,0.694714639703803,0,,
1,Subject expression / pro-drop,final,4441,marker_family,val,1,1.0,1.0,0.9286953431898026,0.9286953431898026,1,1.0,0.9286953431898026
1,Subject expression / pro-drop,final,4441,marker_family,test,2,1.0,1.0,0.9562080446642353,0.9340945819692666,2,1.0,0.9562080446642353
1,Subject expression / pro-drop,final,4441,lexical_domain,train,6,1.0,1.0,0.8033137745025791,0.7466962981038231,0,,
1,Subject expression / pro-drop,final,4441,lexical_domain,val,2,1.0,1.0,0.9280194361830916,0.9099325170873668,2,1.0,0.9280194361830916
1,Subject expression / pro-drop,final,4441,lexical_domain,test,3,1.0,1.0,0.9539088632275039,0.9462205833972249,3,1.0,0.9539088632275039
2,basic_constituent_order,mean,9791,marker_family,train,2,1.0,1.0,0.4838206336834208,0.04702717593000425,0,,
2,basic_constituent_order,mean,9791,marker_family,val,1,1.0,1.0,0.8065270794964587,0.8065270794964587,1,1.0,0.8065270794964587
2,basic_constituent_order,mean,9791,marker_family,test,2,0.5,0.5,0.8233894154055482,0.7904552865893524,2,0.5,0.8233894154055482
2,basic_constituent_order,mean,9791,lexical_domain,train,6,1.0,1.0,0.8465184898045734,0.8010995458873852,0,,
2,basic_constituent_order,mean,9791,lexical_domain,val,2,1.0,1.0,0.790311380676199,0.6086652539264836,2,1.0,0.790311380676199
2,basic_constituent_order,mean,9791,lexical_domain,test,3,0.3333333333333333,0.32,0.129601651099766,0.010175433576184388,3,0.3333333333333333,0.129601651099766
2,basic_constituent_order,final,6235,marker_family,train,2,1.0,1.0,0.36532002515224515,0.11679873088507288,0,,
2,basic_constituent_order,final,6235,marker_family,val,1,1.0,1.0,0.5081190019261346,0.5081190019261346,1,1.0,0.5081190019261346
2,basic_constituent_order,final,6235,marker_family,test,2,0.5,0.5,0.2112541667157659,0.18726966556493133,2,0.5,0.2112541667157659
2,basic_constituent_order,final,6235,lexical_domain,train,6,0.8333333333333334,0.8325,0.5479091750206684,0.0,0,,
2,basic_constituent_order,final,6235,lexical_domain,val,2,1.0,1.0,0.4804855011116136,0.30093191393722424,2,1.0,0.4804855011116136
2,basic_constituent_order,final,6235,lexical_domain,test,3,0.6666666666666666,0.68,0.13805760582743193,0.0076841811703256945,3,0.6666666666666666,0.13805760582743193
3,nominal_modifier_order,mean,4426,marker_family,train,3,0.6666666666666666,0.6675,0.14453476113658495,0.0,0,,
3,nominal_modifier_order,mean,4426,marker_family,val,1,1.0,1.0,0.07632822703172092,0.07632822703172092,1,1.0,0.07632822703172092
3,nominal_modifier_order,mean,4426,marker_family,test,2,0.0,0.0,0.14066937950812347,0.0,2,0.0,0.14066937950812347
3,nominal_modifier_order,mean,4426,lexical_domain,train,6,1.0,1.0,0.5677936679720621,0.5611956854677551,0,,
3,nominal_modifier_order,mean,4426,lexical_domain,val,2,0.5,0.5,0.05397221029876306,0.0,2,0.5,0.05397221029876306
3,nominal_modifier_order,mean,4426,lexical_domain,test,3,0.0,0.0,0.0,0.0,3,0.0,0.0
3,nominal_modifier_order,final,8074,marker_family,train,3,0.6666666666666666,0.6675,0.08371869780290142,0.0,0,,
3,nominal_modifier_order,final,8074,marker_family,val,1,1.0,1.0,0.17854945343380002,0.17854945343380002,1,1.0,0.17854945343380002
3,nominal_modifier_order,final,8074,marker_family,test,2,0.0,0.0,0.09999999635770486,0.0,2,0.0,0.09999999635770486
3,nominal_modifier_order,final,8074,lexical_domain,train,6,1.0,1.0,0.2162862082814797,0.1111067108781198,0,,
3,nominal_modifier_order,final,8074,lexical_domain,val,2,0.5,0.5,0.2654977179674334,0.2566022740594228,2,0.5,0.2654977179674334
3,nominal_modifier_order,final,8074,lexical_domain,test,3,0.0,0.0,0.0,0.0,3,0.0,0.0
4,case_marking,mean,13269,marker_family,train,3,1.0,1.0,0.5134518270840968,0.39615893894264026,0,,
4,case_marking,mean,13269,marker_family,val,1,1.0,1.0,0.3903347559029868,0.3903347559029868,1,1.0,0.3903347559029868
4,case_marking,mean,13269,marker_family,test,2,1.0,1.0,0.5615195806086702,0.3941965153126807,2,1.0,0.5615195806086702
4,case_marking,mean,13269,lexical_domain,train,6,1.0,1.0,0.5762990196926849,0.3100208560551768,0,,
4,case_marking,mean,13269,lexical_domain,val,2,1.0,1.0,0.34891608556232356,0.13582992445248793,2,1.0,0.34891608556232356
4,case_marking,mean,13269,lexical_domain,test,3,1.0,1.0,0.5849306096000757,0.5507042230687373,3,1.0,0.5849306096000757
