variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,val_same_direction,test_same_direction,p_unadjusted,p_maxT,train_fwer_significant,holdout_direction_survival,full_survival,target_train_abs_effect,max_other_variable_abs_effect,mean_other_variable_abs_effect,target_rank_among_40_variables,specificity_ratio_vs_max_other,specificity_margin,specificity_z_vs_other_variables,target_share_of_feature_abs_effect,trainval_candidate,test_descriptive_same_direction,selection_rule
1,Subject expression / pro-drop,mean,1,8431,0.8691208362579346,0.10111186653375626,-0.24833622574806213,True,False,0.0004997501249375312,0.0004997501249375312,True,False,False,0.8691208362579346,0.7564257383346558,0.22195054366229436,1,1.1489836902845056,0.11269509792327881,3.4543895025960825,0.09124444238934241,True,False,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
1,Subject expression / pro-drop,final,1,4441,-0.7896255254745483,-0.9286953210830688,-0.9507593512535095,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.7896255254745483,0.8246793150901794,0.3497103766227762,3,0.9574940355915221,-0.035053789615631104,1.9521732899167215,0.05472743649305618,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
2,basic_constituent_order,mean,2,9791,0.8227548599243164,0.8065271973609924,0.03335511311888695,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8227548599243164,0.46920856833457947,0.1926103119427959,1,1.7534949603427383,0.35354629158973694,4.426149249244496,0.09871608741628005,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
2,basic_constituent_order,final,22,6235,0.5477117896080017,0.5081190466880798,0.08903247117996216,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.5477117896080017,0.4513716995716095,0.1721022142073474,1,1.2134384812513217,0.09634009003639221,3.0220915542398927,0.07544553213740984,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
3,nominal_modifier_order,mean,25,4426,-0.5660698413848877,-0.07632822543382645,0.19893653690814972,True,False,0.0004997501249375312,0.0004997501249375312,True,False,False,0.5660698413848877,0.33879104256629944,0.11582601274578617,1,1.6708524437274965,0.22727879881858826,5.27401448416063,0.11135907489983257,True,False,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
3,nominal_modifier_order,final,25,8074,0.21610227227210999,0.17854945361614227,-0.1414213478565216,True,False,0.0004997501249375312,0.0014992503748125937,True,False,False,0.21610227227210999,0.5295006036758423,0.1410987486000149,8,0.40812469480092745,-0.3133983314037323,0.6055127546047968,0.037787031052737716,True,False,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
4,case_marking,mean,20,13269,0.5107520818710327,0.39033475518226624,0.584809422492981,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.5107520818710327,0.2905901372432709,0.12132465993412413,1,1.7576373607045401,0.22016194462776184,5.218464194372727,0.09742689140458756,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
4,case_marking,final,24,4731,0.17132608592510223,0.6020776033401489,0.11675422638654709,True,True,0.0009995002498750624,0.04997501249375312,True,True,True,0.17132608592510223,0.07068882882595062,0.004502751410771639,1,2.423665645203144,0.10063725709915161,10.42955004521037,0.4938299120137618,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
5,morphosyntactic_alignment,mean,1,7247,-0.6954706907272339,-0.6925016641616821,-0.6649801731109619,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.6954706907272339,0.9016627073287964,0.441836486886948,10,0.7713202343563562,-0.2061920166015625,0.9460878107483067,0.03879439150416063,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
5,morphosyntactic_alignment,final,2,5159,0.6581054925918579,0.7016226649284363,0.5436592102050781,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.6581054925918579,0.8962443470954895,0.3383218132150479,6,0.7342924892353498,-0.2381388545036316,1.29631271149849,0.047507530881536524,True,True,"train FWER significant; validation same direction; then minimize cross-variable rank, maximize specificity ratio, maximize train absolute effect; test not used"
