variable_id,variable,feature_id,inspection_grade,ablation_role
1,Subject expression / pro-drop,8041,C,exploratory_causal
2,basic_constituent_order,932,C,exploratory_causal
3,nominal_modifier_order,4426,C,exploratory_causal
4,case_marking,13269,B,causal_worth_testing
5,morphosyntactic_alignment,7247,D,diagnostic_control
6,transitivity_valency,164,C,exploratory_causal
7,voice_and_agent_prominence,8235,A,primary_causal
8,causativity_and_valency_change,8182,D,diagnostic_control
9,analytic_vs_synthetic_encoding,144,C,exploratory_causal
10,morphological_segmentation_type,15843,B,causal_worth_testing
11,agreement_indexing_density,758,C,exploratory_causal
12,optionality_vs_obligatoriness_of_marking,9607,D,diagnostic_control
13,redundancy_cumulative_exponence,4814,B,causal_worth_testing
14,definiteness_and_specificity,12995,C,exploratory_causal
15,number_marking,8685,B,causal_worth_testing
16,gender_noun_class,5205,A,primary_causal
17,animacy_and_humanness,6618,D,diagnostic_control
18,person_marking_and_person_hierarchy,13235,B,causal_worth_testing
19,inclusive_exclusive_distinction,6062,C,exploratory_causal
20,pronoun_richness_and_reduction,6944,A,primary_causal
21,possession_and_alienability,15325,C,exploratory_causal
22,tense_prominence,1385,C,exploratory_causal
23,aspect_and_event_structure,6216,B,causal_worth_testing
24,modality_and_mood,13197,A,primary_causal
25,epistemic_modality,15221,A,primary_causal
26,evidentiality,6900,B,causal_worth_testing
27,mirativity_stance_and_affect_marking,1887,C,exploratory_causal
28,negation_and_polarity_structure,4382,D,diagnostic_control
29,quantifier_scope_and_distributivity,8551,B,causal_worth_testing
30,conditional_and_counterfactual_marking,11810,B,causal_worth_testing
31,subordination_and_embedding,11461,B,causal_worth_testing
32,quotation_and_reported_speech_structure,1754,B,causal_worth_testing
33,discourse_relation_marking,9728,D,diagnostic_control
34,topic_comment_structure,1302,D,diagnostic_control
35,focus_and_given_new_marking,7136,B,causal_worth_testing
36,genericity_and_kind_level_reference,1858,D,diagnostic_control
37,social_deixis_honorifics_status_encoding,2081,A,primary_causal
38,speech_act_force_and_request_directness,14406,C,exploratory_causal
39,deixis_and_perspective_anchoring,14441,A,primary_causal
40,orthographic_and_tokenization_interface,3132,B,causal_worth_testing
