variable_id,variable,inspection_grade,ablation_role,target_feature,intervention_side,baseline_downstream_score,intervention_downstream_score,mean_attenuation,attenuation_fraction,attenuation_ci_low,attenuation_ci_high,attenuation_bootstrap_p,mean_final_repr_cosine_to_baseline,target_train_basis_mean_activation,target_train_changed_mean_activation,target_train_basis_fire_rate,target_train_changed_fire_rate,matched_control_mean_attenuation,target_minus_control_attenuation,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_bootstrap_p,target_vs_control_fdr_q,control_features,causal_screen_category,final_repr_distortion,abs_attenuation_fraction
4,case_marking,B,causal_worth_testing,13269,changed,0.836494505405426,0.8386960625648499,-0.0022015404701232,-0.0026318648310263,-0.003854236960411,-0.0006920799911022,0.0109945027486256,0.9999985597012424,0.0033104203175753,0.0096933469176292,0.1700000017881393,0.4724999964237213,-0.0021562541369348,-4.5286215099622494e-05,-0.0022107389310986,0.0022194478588808,0.992503748125937,0.992503748125937,"6618,4814,12995",null_or_reverse,1.440298757593439e-06,0.0026318648310263
22,tense_prominence,C,exploratory_causal,1385,basis,0.570666491985321,0.570666491985321,0.0,0.0,0.0,0.0,1.0,1.0,0.0148485247045755,0.0012724266853183,0.2675000131130218,0.0425000004470348,0.0002000739914365,-0.0002000740136281,-0.000624775473203,0.0002151641151467,0.3548225887056472,0.4055115299493111,"8551,3132,758",null_or_reverse,0.0,0.0
33,discourse_relation_marking,D,diagnostic_control,9728,basis,-0.1275073885917663,-0.125494435429573,-0.0020129356533288,-0.0157868157724851,-0.0033109506834298,-0.0007395731657743,0.000999500249875,0.9999879966566052,0.0320591256022453,0.0301084872335195,1.0,1.0,-0.0015139640308916,-0.00049897152232,-0.0034299424877972,0.0024982094228034,0.7276361819090454,0.7462935199067133,"8041,7247,6618",null_or_reverse,1.2003343394795252e-05,0.0157868157724851
28,negation_and_polarity_structure,D,diagnostic_control,4382,changed,0.2558494806289673,0.2562155425548553,-0.000366087257862,-0.0014308696541502,-0.0016862452235072,0.0009761176593601,0.623688155922039,0.9999994742137608,0.003207191126421,0.0055012716911733,0.2349999994039535,0.4350000023841858,0.0006720931269228,-0.0010381802805932,-0.0023882817490157,0.0003893929873956,0.1579210394802598,0.21056138597367974,"1385,6900,8685",null_or_reverse,5.257862392138435e-07,0.0014308696541502
12,optionality_vs_obligatoriness_of_marking,D,diagnostic_control,9607,changed,0.0548951439559459,0.0566098168492317,-0.0017146795615553,-0.0312355417617892,-0.0026175421103835,-0.0008765887282788,0.000999500249875,0.999999188033146,0.0052346549928188,0.0072913262993097,0.3975000083446502,0.4625000059604645,-0.0001689024793449,-0.0015457770818193,-0.0023779943773454,-0.0007655224890979,0.000999500249875,0.0016658337497916665,"12995,6216,8551",null_or_reverse,8.119668539752212e-07,0.0312355417617892
35,focus_and_given_new_marking,B,causal_worth_testing,7136,changed,0.832622230052948,0.8326433300971985,-2.1061971783638e-05,-2.5295951781516367e-05,-0.0002553881797939,0.0001913162767887,0.8745627186406797,0.9999999422021772,0.0009475254919379,0.0106537081301212,0.1324999928474426,0.5199999809265137,0.0016107585979625,-0.001631820527109,-0.0021724899362488,-0.0011152736142685,0.000999500249875,0.0016658337497916665,"1385,1887,932",null_or_reverse,5.7797822750060845e-08,2.5295951781516367e-05
18,person_marking_and_person_hierarchy,B,causal_worth_testing,13235,changed,0.374948114156723,0.3751407265663147,-0.0001925891637802,-0.0005136421720998,-0.0006500704586505,9.982883930206298e-05,0.2818590704647676,0.999999864554136,0.0010153746698051,0.00264867185615,0.1375000029802322,0.3125,0.0017180885188281,-0.0019106776925036,-0.0029741153966024,-0.0010402751472283,0.000999500249875,0.0016658337497916665,"12995,6944,6216",null_or_reverse,1.3544586396907476e-07,0.0005136421720998
13,redundancy_cumulative_exponence,B,causal_worth_testing,4814,changed,0.0493889525532722,0.0519610084593296,-0.0025720605254173,-0.0520776487949007,-0.0044413158483803,-0.0006953817717731,0.0079960019990005,0.9999885788677508,0.0809117034077644,0.1033772826194763,1.0,1.0,0.0048309722915291,-0.0074030328029766,-0.0094760173651447,-0.0053757325561309,0.000999500249875,0.0016658337497916665,"7247,8041,5205",null_or_reverse,1.142113224916752e-05,0.0520776487949007
5,morphosyntactic_alignment,D,diagnostic_control,7247,basis,1.038769245147705,1.04649555683136,-0.007726310417056,-0.0074379468328959,-0.0099710301272571,-0.0054076649546623,0.000999500249875,0.9999943750843432,0.0952483117580413,0.0763856768608093,1.0,1.0,7.74669460952282e-05,-0.007803777353838,-0.0119980668787611,-0.0036780916238203,0.000999500249875,0.0016658337497916665,"1302,8041,9728",null_or_reverse,5.624915656810003e-06,0.0074379468328959
8,causativity_and_valency_change,D,diagnostic_control,8182,changed,0.9448300004005432,0.9274959564208984,0.0173340912163257,0.0183462540446189,-0.0023987369053065,0.0367265976071357,0.0759620189905047,0.9987583731843676,1.5766894817352295,1.7148855924606323,1.0,1.0,0.0026158627588301,0.0147182281315326,-0.0060647447491064,0.0357004745504818,0.1659170414792603,0.21408650513452945,"164,7247,8041",positive_control_advantage,0.0012416268156324461,0.0183462540446189
