variable_id,variable,target_feature,intervention_side,control_rank,control_feature,matching_distance,target_side_mean_activation,control_side_mean_activation,target_side_fire_rate,control_side_fire_rate,target_decoder_norm,control_decoder_norm
1,Subject expression / pro-drop,8041,changed,1,9728,0.011085100475488857,0.04502694308757782,0.03350668400526047,1.0,1.0,1.0,1.0
1,Subject expression / pro-drop,8041,changed,2,7247,0.0227261040367834,0.04502694308757782,0.06904825568199158,1.0,1.0,1.0,1.0
1,Subject expression / pro-drop,8041,changed,3,1302,0.03587894799574768,0.04502694308757782,0.07779967039823532,1.0,0.9975000023841858,1.0,1.0
2,basic_constituent_order,932,changed,1,1887,0.28550844281407134,0.016518978402018547,0.017035864293575287,0.6549999713897705,0.7975000143051147,1.0,1.0
2,basic_constituent_order,932,changed,2,1302,0.31219155240011465,0.016518978402018547,0.03414551913738251,0.6549999713897705,0.8025000095367432,1.0,1.0
2,basic_constituent_order,932,changed,3,7136,0.3443533285416881,0.016518978402018547,0.03638355806469917,0.6549999713897705,0.8174999952316284,1.0,1.0
3,nominal_modifier_order,4426,basis,1,8685,0.03646008123232517,0.015823813155293465,0.009282630868256092,0.3474999964237213,0.33250001072883606,1.0,1.0
3,nominal_modifier_order,4426,basis,2,1385,0.06789530063832894,0.015823813155293465,0.007835159078240395,0.3474999964237213,0.3174999952316284,1.0,1.0
3,nominal_modifier_order,4426,basis,3,12995,0.1858782241863454,0.015823813155293465,0.004833352752029896,0.3474999964237213,0.25999999046325684,1.0,1.0
4,case_marking,13269,changed,1,6618,0.06185837847854777,0.009693346917629242,0.026859411969780922,0.4724999964237213,0.44999998807907104,1.0,1.0
4,case_marking,13269,changed,2,4814,0.10787574560152774,0.009693346917629242,0.012601127848029137,0.4724999964237213,0.41999998688697815,1.0,1.0
4,case_marking,13269,changed,3,12995,0.34502085286812734,0.009693346917629242,0.0046365042217075825,0.4724999964237213,0.30250000953674316,1.0,1.0
5,morphosyntactic_alignment,7247,basis,1,1302,0.0066924823435522,0.09524835646152496,0.10260286927223206,1.0,1.0,1.0,1.0
5,morphosyntactic_alignment,7247,basis,2,8041,0.03507790703818191,0.09524835646152496,0.0574953556060791,1.0,1.0,1.0,1.0
5,morphosyntactic_alignment,7247,basis,3,9728,0.04566757351752452,0.09524835646152496,0.04635591804981232,1.0,1.0,1.0,1.0
6,transitivity_valency,164,changed,1,7247,0.3983350001187245,0.5872238874435425,0.06572093814611435,1.0,1.0,1.0,1.0
6,transitivity_valency,164,changed,2,8041,0.40950588108605895,0.5872238874435425,0.05388214439153671,1.0,1.0,1.0,1.0
6,transitivity_valency,164,changed,3,9728,0.41288148097663113,0.5872238874435425,0.05033065751194954,1.0,1.0,1.0,1.0
7,voice_and_agent_prominence,8235,changed,1,9728,0.058322970872632475,0.036538831889629364,0.033100105822086334,0.9725000262260437,1.0,1.0,1.0
7,voice_and_agent_prominence,8235,changed,2,8041,0.06137968919098499,0.036538831889629364,0.029947031289339066,0.9725000262260437,1.0,1.0,1.0
7,voice_and_agent_prominence,8235,changed,3,7247,0.08637835294589473,0.036538831889629364,0.06957943737506866,0.9725000262260437,1.0,1.0,1.0
8,causativity_and_valency_change,8182,changed,1,164,0.4096798948743793,1.7148849964141846,0.8023109436035156,1.0,1.0,1.0,1.0
8,causativity_and_valency_change,8182,changed,2,7247,0.9386378297328468,1.7148849964141846,0.061955228447914124,1.0,1.0,1.0,1.0
8,causativity_and_valency_change,8182,changed,3,8041,0.964917888386447,1.7148849964141846,0.0344105064868927,1.0,1.0,1.0,1.0
9,analytic_vs_synthetic_encoding,144,basis,1,758,0.03633375968879753,0.01126592606306076,0.004881023429334164,0.3125,0.29750001430511475,1.0,1.0
9,analytic_vs_synthetic_encoding,144,basis,2,6216,0.11301625442819643,0.01126592606306076,0.014320751652121544,0.3125,0.3675000071525574,1.0,1.0
9,analytic_vs_synthetic_encoding,144,basis,3,6900,0.14738427351508812,0.01126592606306076,0.0038259506691247225,0.3125,0.24250000715255737,1.0,1.0
10,morphological_segmentation_type,15843,changed,1,8685,0.26023335450357843,0.03498794138431549,0.009198484010994434,0.8100000023841858,0.6924999952316284,1.0,1.0
10,morphological_segmentation_type,15843,changed,2,6618,0.26798776267143476,0.03498794138431549,0.053773507475852966,0.8100000023841858,0.9350000023841858,1.0,1.0
10,morphological_segmentation_type,15843,changed,3,5205,0.3300360708279293,0.03498794138431549,0.009397534653544426,0.8100000023841858,0.6575000286102295,1.0,1.0
11,agreement_indexing_density,758,changed,1,7247,0.12617804891765522,0.07519669085741043,0.06857455521821976,0.9399999976158142,1.0,1.0,1.0
11,agreement_indexing_density,758,changed,2,5205,0.1312562700902543,0.07519669085741043,0.1488482803106308,0.9399999976158142,0.9075000286102295,1.0,1.0
11,agreement_indexing_density,758,changed,3,8041,0.1514028114083653,0.07519669085741043,0.04195713624358177,0.9399999976158142,1.0,1.0,1.0
12,optionality_vs_obligatoriness_of_marking,9607,changed,1,12995,0.13297190056148764,0.00729132816195488,0.004302197601646185,0.4625000059604645,0.39750000834465027,1.0,1.0
12,optionality_vs_obligatoriness_of_marking,9607,changed,2,6216,0.21820004088331116,0.00729132816195488,0.00407314021140337,0.4625000059604645,0.35499998927116394,1.0,1.0
12,optionality_vs_obligatoriness_of_marking,9607,changed,3,8551,0.219630518708775,0.00729132816195488,0.017038889229297638,0.4625000059604645,0.35749998688697815,1.0,1.0
13,redundancy_cumulative_exponence,4814,changed,1,7247,0.04280014472993609,0.10337728261947632,0.057148922234773636,1.0,1.0,1.0,1.0
13,redundancy_cumulative_exponence,4814,changed,2,8041,0.06614398180565682,0.10337728261947632,0.03275682032108307,1.0,1.0,1.0,1.0
13,redundancy_cumulative_exponence,4814,changed,3,5205,0.07423140451661984,0.10337728261947632,0.18839913606643677,1.0,1.0,1.0,1.0
14,definiteness_and_specificity,12995,basis,1,3132,0.056089127422949484,0.014447418041527271,0.003260181052610278,0.32749998569488525,0.3050000071525574,1.0,1.0
14,definiteness_and_specificity,12995,basis,2,13197,0.08389572875018685,0.014447418041527271,0.0054631768725812435,0.32749998569488525,0.28999999165534973,1.0,1.0
14,definiteness_and_specificity,12995,basis,3,15325,0.17053280951994396,0.014447418041527271,0.0038184775039553642,0.32749998569488525,0.2475000023841858,1.0,1.0
15,number_marking,8685,changed,1,5205,0.07200132202180054,0.023012271150946617,0.09390384703874588,0.7574999928474426,0.7549999952316284,1.0,1.0
15,number_marking,8685,changed,2,758,0.16165093338583822,0.023012271150946617,0.021324705332517624,0.7574999928474426,0.6775000095367432,1.0,1.0
15,number_marking,8685,changed,3,9728,0.5023597724710857,0.023012271150946617,0.04092656075954437,0.7574999928474426,1.0,1.0,1.0
16,gender_noun_class,5205,changed,1,7247,0.2525611623286842,0.1780911087989807,0.08473337441682816,0.9150000214576721,1.0,1.0,1.0
16,gender_noun_class,5205,changed,2,8041,0.28489265616769044,0.1780911087989807,0.0502232126891613,0.9150000214576721,1.0,1.0,1.0
16,gender_noun_class,5205,changed,3,9728,0.2947023152989438,0.1780911087989807,0.0399712473154068,0.9150000214576721,1.0,1.0,1.0
17,animacy_and_humanness,6618,changed,1,5205,0.12613018653308508,0.05093971639871597,0.00859115831553936,0.8274999856948853,0.7850000262260437,1.0,1.0
17,animacy_and_humanness,6618,changed,2,7247,0.36668739545880036,0.05093971639871597,0.07398077845573425,0.8274999856948853,1.0,1.0,1.0
17,animacy_and_humanness,6618,changed,3,8041,0.3702256269647655,0.05093971639871597,0.024760711938142776,0.8274999856948853,1.0,1.0,1.0
18,person_marking_and_person_hierarchy,13235,changed,1,12995,0.026471319717803955,0.0026486720889806747,0.004124998580664396,0.3125,0.30000001192092896,1.0,1.0
18,person_marking_and_person_hierarchy,13235,changed,2,6944,0.16370412926903208,0.0026486720889806747,0.006369472946971655,0.3125,0.39250001311302185,1.0,1.0
18,person_marking_and_person_hierarchy,13235,changed,3,6216,0.17689122440402877,0.0026486720889806747,0.014642540365457535,0.3125,0.39500001072883606,1.0,1.0
19,inclusive_exclusive_distinction,6062,basis,1,9728,0.011679854116230827,0.019740289077162743,0.02145475335419178,0.9950000047683716,1.0,1.0,1.0
19,inclusive_exclusive_distinction,6062,basis,2,8041,0.014835225675900971,0.019740289077162743,0.024682912975549698,0.9950000047683716,1.0,1.0,1.0
19,inclusive_exclusive_distinction,6062,basis,3,15325,0.08930005729754636,0.019740289077162743,0.044823504984378815,0.9950000047683716,0.9624999761581421,1.0,1.0
20,pronoun_richness_and_reduction,6944,basis,1,8041,0.19749882064962979,0.026570096611976624,0.024008138105273247,0.9024999737739563,1.0,1.0,1.0
20,pronoun_richness_and_reduction,6944,basis,2,9728,0.1997179020512787,0.026570096611976624,0.02173830009996891,0.9024999737739563,1.0,1.0,1.0
20,pronoun_richness_and_reduction,6944,basis,3,6618,0.20424399731680223,0.026570096611976624,0.05176246166229248,0.9024999737739563,0.8125,1.0,1.0
21,possession_and_alienability,15325,changed,1,4426,0.09056334477866615,0.08712397515773773,0.049141548573970795,0.9725000262260437,1.0,1.0,1.0
21,possession_and_alienability,15325,changed,2,7247,0.09828503331548319,0.08712397515773773,0.04107160121202469,0.9725000262260437,1.0,1.0,1.0
21,possession_and_alienability,15325,changed,3,8041,0.1008517491235941,0.08712397515773773,0.03840289264917374,0.9725000262260437,1.0,1.0,1.0
22,tense_prominence,1385,basis,1,8551,0.020847088576234196,0.01484853308647871,0.0038999193347990513,0.26750001311302185,0.26249998807907104,1.0,1.0
22,tense_prominence,1385,basis,2,3132,0.030595375046314283,0.01484853308647871,0.00415257690474391,0.26750001311302185,0.2775000035762787,1.0,1.0
22,tense_prominence,1385,basis,3,758,0.030872806474447533,0.01484853308647871,0.003874091897159815,0.26750001311302185,0.2574999928474426,1.0,1.0
23,aspect_and_event_structure,6216,basis,1,8685,0.04392911470513047,0.030069444328546524,0.010754501447081566,0.675000011920929,0.6625000238418579,1.0,1.0
23,aspect_and_event_structure,6216,basis,2,6618,0.06590053850019528,0.030069444328546524,0.04135923087596893,0.675000011920929,0.7024999856948853,1.0,1.0
