variable_id,variable,split,primary_mechanistic,pairs,eligible,first_token_divergence,identical,mean_common_prefix_tokens,median_common_prefix_tokens,eligible_fraction
1,Subject expression / pro-drop,test,False,50,50,0,0,11.6,12.0,1.0
1,Subject expression / pro-drop,val,False,50,50,0,0,12.46,12.0,1.0
2,basic_constituent_order,test,False,50,50,0,0,4.82,4.0,1.0
2,basic_constituent_order,val,False,50,50,0,0,3.56,3.5,1.0
3,nominal_modifier_order,test,False,50,50,0,0,2.28,2.0,1.0
3,nominal_modifier_order,val,False,50,50,0,0,2.18,2.0,1.0
4,case_marking,test,False,50,48,2,0,1.78,2.0,0.96
4,case_marking,val,False,50,0,50,0,0.0,0.0,0.0
5,morphosyntactic_alignment,test,False,50,21,29,0,2.7,0.0,0.42
5,morphosyntactic_alignment,val,False,50,20,30,0,3.08,0.0,0.4
6,transitivity_valency,test,True,50,50,0,0,4.3,4.5,1.0
6,transitivity_valency,val,True,50,50,0,0,4.22,3.5,1.0
7,voice_and_agent_prominence,test,False,50,0,50,0,0.0,0.0,0.0
7,voice_and_agent_prominence,val,False,50,50,0,0,5.52,6.0,1.0
8,causativity_and_valency_change,test,False,50,25,25,0,0.9,0.5,0.5
8,causativity_and_valency_change,val,False,50,32,18,0,0.92,1.0,0.64
9,analytic_vs_synthetic_encoding,test,False,50,48,2,0,1.98,1.0,0.96
9,analytic_vs_synthetic_encoding,val,False,50,47,3,0,2.5,2.0,0.94
10,morphological_segmentation_type,test,True,50,50,0,0,9.34,9.0,1.0
10,morphological_segmentation_type,val,True,50,50,0,0,10.28,10.0,1.0
11,agreement_indexing_density,test,True,50,8,42,0,0.7,0.0,0.16
11,agreement_indexing_density,val,True,50,50,0,0,5.08,5.0,1.0
12,optionality_vs_obligatoriness_of_marking,test,False,50,50,0,0,10.44,11.0,1.0
12,optionality_vs_obligatoriness_of_marking,val,False,50,50,0,0,20.44,20.0,1.0
13,redundancy_cumulative_exponence,test,False,50,50,0,0,9.9,10.0,1.0
13,redundancy_cumulative_exponence,val,False,50,50,0,0,8.12,9.0,1.0
14,definiteness_and_specificity,test,True,50,30,20,0,5.48,5.0,0.6
14,definiteness_and_specificity,val,True,50,28,22,0,3.24,5.0,0.56
15,number_marking,test,False,50,50,0,0,5.22,5.0,1.0
15,number_marking,val,False,50,50,0,0,5.04,5.0,1.0
16,gender_noun_class,test,True,50,0,50,0,0.0,0.0,0.0
16,gender_noun_class,val,True,50,0,50,0,0.0,0.0,0.0
17,animacy_and_humanness,test,True,50,50,0,0,5.18,6.0,1.0
17,animacy_and_humanness,val,True,50,50,0,0,7.26,6.0,1.0
18,person_marking_and_person_hierarchy,test,False,50,24,26,0,0.56,0.0,0.48
18,person_marking_and_person_hierarchy,val,False,50,3,47,0,0.06,0.0,0.06
19,inclusive_exclusive_distinction,test,True,50,50,0,0,8.68,9.0,1.0
19,inclusive_exclusive_distinction,val,True,50,50,0,0,8.44,9.0,1.0
20,pronoun_richness_and_reduction,test,True,50,45,5,0,17.56,22.0,0.9
20,pronoun_richness_and_reduction,val,True,50,45,5,0,17.96,22.0,0.9
21,possession_and_alienability,test,True,50,50,0,0,8.48,8.0,1.0
21,possession_and_alienability,val,True,50,50,0,0,8.44,8.0,1.0
22,tense_prominence,test,False,50,38,12,0,0.84,1.0,0.76
22,tense_prominence,val,False,50,24,26,0,0.94,0.0,0.48
23,aspect_and_event_structure,test,True,50,50,0,0,6.54,7.0,1.0
23,aspect_and_event_structure,val,True,50,50,0,0,6.78,4.0,1.0
24,modality_and_mood,test,True,50,50,0,0,1.5,1.5,1.0
24,modality_and_mood,val,True,50,28,22,0,0.56,1.0,0.56
25,epistemic_modality,test,False,50,42,8,0,1.66,2.0,0.84
25,epistemic_modality,val,False,50,50,0,0,2.18,2.0,1.0
26,evidentiality,test,False,50,4,46,0,0.08,0.0,0.08
26,evidentiality,val,False,50,0,50,0,0.0,0.0,0.0
27,mirativity_stance_and_affect_marking,test,True,50,50,0,0,8.32,3.0,1.0
27,mirativity_stance_and_affect_marking,val,True,50,42,8,0,1.1,1.0,0.84
28,negation_and_polarity_structure,test,False,50,25,25,0,6.34,3.5,0.5
28,negation_and_polarity_structure,val,False,50,34,16,0,6.8,5.0,0.68
29,quantifier_scope_and_distributivity,test,True,50,42,8,0,4.18,5.5,0.84
29,quantifier_scope_and_distributivity,val,True,50,16,34,0,1.6,0.0,0.32
30,conditional_and_counterfactual_marking,test,False,50,5,45,0,0.1,0.0,0.1
30,conditional_and_counterfactual_marking,val,False,50,20,30,0,3.06,0.0,0.4
31,subordination_and_embedding,test,False,50,50,0,0,5.48,6.0,1.0
31,subordination_and_embedding,val,False,50,50,0,0,4.54,4.0,1.0
32,quotation_and_reported_speech_structure,test,True,50,50,0,0,2.8,2.0,1.0
32,quotation_and_reported_speech_structure,val,True,50,18,32,0,1.82,0.0,0.36
33,discourse_relation_marking,test,False,50,24,26,0,1.72,0.0,0.48
33,discourse_relation_marking,val,False,50,33,17,0,6.36,9.0,0.66
34,topic_comment_structure,test,False,50,40,10,0,8.3,11.0,0.8
34,topic_comment_structure,val,False,50,43,7,0,3.02,4.0,0.86
35,focus_and_given_new_marking,test,False,50,20,30,0,1.88,0.0,0.4
35,focus_and_given_new_marking,val,False,50,50,0,0,6.18,7.5,1.0
36,genericity_and_kind_level_reference,test,False,50,3,47,0,0.22,0.0,0.06
36,genericity_and_kind_level_reference,val,False,50,0,50,0,0.0,0.0,0.0
37,social_deixis_honorifics_status_encoding,test,True,50,41,9,0,8.02,8.5,0.82
37,social_deixis_honorifics_status_encoding,val,True,50,42,8,0,2.5,3.0,0.84
38,speech_act_force_and_request_directness,test,False,50,24,26,0,0.8,0.0,0.48
38,speech_act_force_and_request_directness,val,False,50,0,50,0,0.0,0.0,0.0
39,deixis_and_perspective_anchoring,test,False,50,50,0,0,8.48,10.0,1.0
39,deixis_and_perspective_anchoring,val,False,50,15,35,0,0.6,0.0,0.3
40,orthographic_and_tokenization_interface,test,False,50,50,0,0,4.06,4.0,1.0
40,orthographic_and_tokenization_interface,val,False,50,50,0,0,21.74,23.0,1.0
