variable_id,variable,inspection_grade,ablation_role,split,target_feature,intervention_side,control_features,target_mean_attenuation,matched_control_mean_attenuation,target_minus_control_attenuation,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_bootstrap_p
1,Subject expression / pro-drop,C,exploratory_causal,val,8041,changed,"9728,7247,1302",0.003962586633861065,-0.00878026895225048,0.012742855725809932,0.010855290746316314,0.014751932719023898,0.0009995002498750624
1,Subject expression / pro-drop,C,exploratory_causal,test,8041,changed,"9728,7247,1302",0.004532907158136368,-0.003957860637456179,0.008490767844486982,0.005858296747610439,0.011062813047115922,0.0009995002498750624
2,basic_constituent_order,C,exploratory_causal,val,932,changed,"1887,1302,7136",0.002938305027782917,-0.0008917577797546983,0.003830062932938745,0.0018819779153027413,0.00579192276732283,0.0009995002498750624
2,basic_constituent_order,C,exploratory_causal,test,932,changed,"1887,1302,7136",0.001339545240625739,0.0002539330453146249,0.0010856121541291941,-0.0007304345148149878,0.0032552762434570454,0.28385807096451776
3,nominal_modifier_order,C,exploratory_causal,val,4426,basis,"8685,1385,12995",-8.323982183355838e-05,6.1677756093558855e-06,-8.940760186305852e-05,-0.0003262808459462576,0.00010574905235580442,0.46976511744127936
3,nominal_modifier_order,C,exploratory_causal,test,4426,basis,"8685,1385,12995",0.00012103229528293014,2.0010294974781573e-05,0.00010102201580593829,-0.00018801367335618123,0.00047776919984971735,0.5967016491754122
4,case_marking,B,causal_worth_testing,val,13269,changed,"6618,4814,12995",-0.00014863311662338674,-0.0021100579760968685,0.0019614249225560344,0.000628351836652655,0.0033737297958141414,0.0069965017491254375
4,case_marking,B,causal_worth_testing,test,13269,changed,"6618,4814,12995",-0.002201540395617485,-0.0021562541369348764,-4.5286215099622494e-05,-0.0022107389310986035,0.0022194478588808127,0.992503748125937
5,morphosyntactic_alignment,D,diagnostic_control,val,7247,basis,"1302,8041,9728",-0.008399927988648415,-0.001308045582845807,-0.007091881763190031,-0.010927511607995256,-0.003274371470441111,0.0009995002498750624
5,morphosyntactic_alignment,D,diagnostic_control,test,7247,basis,"1302,8041,9728",-0.007726310286670923,7.74669460952282e-05,-0.007803777353838086,-0.011998066878761164,-0.0036780916238203657,0.0009995002498750624
6,transitivity_valency,C,exploratory_causal,val,164,changed,"7247,8041,9728",0.06665775924921036,-0.0009796726517379284,0.06763743238523602,0.05771619297983124,0.07785006664181128,0.0009995002498750624
6,transitivity_valency,C,exploratory_causal,test,164,changed,"7247,8041,9728",0.05630834400653839,-0.0005252396804280579,0.056833580993115904,0.047574302945286036,0.06538765293359755,0.0009995002498750624
7,voice_and_agent_prominence,A,primary_causal,val,8235,changed,"9728,8041,7247",0.0014784288359805942,0.007064336910843849,-0.005585908299544826,-0.007016176255536266,-0.004091013984725579,0.0009995002498750624
7,voice_and_agent_prominence,A,primary_causal,test,8235,changed,"9728,8041,7247",0.0031810307409614325,0.0026773670688271523,0.0005036636913428083,-0.0014980296372959856,0.0026512631387886343,0.6456771614192903
8,causativity_and_valency_change,D,diagnostic_control,val,8182,changed,"164,7247,8041",0.00489459466189146,0.0028161387890577316,0.0020784559287130833,-0.02331251631677151,0.02555307405581697,0.881559220389805
8,causativity_and_valency_change,D,diagnostic_control,test,8182,changed,"164,7247,8041",0.017334090545773506,0.0026158627588301897,0.014718228131532668,-0.006064744749106467,0.035700474550481885,0.16591704147926037
9,analytic_vs_synthetic_encoding,C,exploratory_causal,val,144,basis,"758,6216,6900",0.0025025480426847935,0.0002914496581070125,0.002211098390398547,0.001039441777713364,0.003381349827221129,0.0009995002498750624
9,analytic_vs_synthetic_encoding,C,exploratory_causal,test,144,basis,"758,6216,6900",0.0017141476273536682,-0.00041080842493101954,0.0021249560196883975,0.00038186355881043713,0.003979971644061149,0.013993003498250875
10,morphological_segmentation_type,B,causal_worth_testing,val,15843,changed,"8685,6618,5205",0.0009987227385863662,-0.0029640027787536383,0.003962725490564481,0.0023528485207352785,0.005635685495377401,0.0009995002498750624
10,morphological_segmentation_type,B,causal_worth_testing,test,15843,changed,"8685,6618,5205",0.006255392916500568,-0.00019602797692641616,0.006451421197489253,0.004672959482986698,0.00844790027664021,0.0009995002498750624
11,agreement_indexing_density,C,exploratory_causal,val,758,changed,"7247,5205,8041",0.014635267667472363,-0.0027320466469973326,0.017367313683498652,0.01359283150138799,0.02122771904582623,0.0009995002498750624
11,agreement_indexing_density,C,exploratory_causal,test,758,changed,"7247,5205,8041",0.030903857201337814,-0.0018447740003466606,0.03274863103288226,0.02273918025378953,0.04243570995429763,0.0009995002498750624
12,optionality_vs_obligatoriness_of_marking,D,diagnostic_control,val,9607,changed,"12995,6216,8551",-0.0004270446370355785,-0.002595736412331462,0.002168691969127394,0.0012908813668764197,0.003029829100167262,0.0009995002498750624
12,optionality_vs_obligatoriness_of_marking,D,diagnostic_control,test,9607,changed,"12995,6216,8551",-0.0017146796453744173,-0.00016890247934497893,-0.001545777081819324,-0.0023779943773454305,-0.0007655224890979757,0.0009995002498750624
13,redundancy_cumulative_exponence,B,causal_worth_testing,val,4814,changed,"7247,8041,5205",-0.002741061383858323,0.008434963412582874,-0.011176024456508457,-0.013512543885852211,-0.00880976928211749,0.0009995002498750624
