variable_id,variable,primary_mechanistic,inspection_grade,ablation_category,steering_category,target_feature,feature_high_side,n_pairs,bos_fallback_pairs,baseline_mean_logit_margin,steered_mean_logit_margin,target_behavioral_effect,target_behavioral_effect_ci_low,target_behavioral_effect_ci_high,target_behavioral_effect_p,baseline_high_token_preference_rate,steered_high_token_preference_rate,high_token_preference_rate_change,target_minus_control_behavioral_effect,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_p,primary_cohort_fdr_q,all40_exploratory_fdr_q,behavior_effect_dose_0_5,behavior_effect_dose_1_0,behavior_effect_dose_2_0,dose_monotonic_non_decreasing,behavioral_category
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,8041,changed,50,0,-2.545658645629883,-2.544502754211426,0.0011558914184570312,0.0005221633911132812,0.0018558225631713865,0.0009995002498750624,0.1,0.1,0.0,0.0010498301188151043,0.0003022212982177735,0.0018054059346516924,0.008995502248875561,,0.025701434996787318,0.000571441650390625,0.0011558914184570312,0.002308769226074219,True,specific_positive
2,basic_constituent_order,False,C,positive_control_advantage,positive_control_advantage,932,changed,50,0,0.8207232284545899,0.8201125335693359,-0.0006106948852539063,-0.0016324529647827148,0.00029820251464843684,0.19290354822588707,0.6,0.6,0.0,-0.0009491221110026042,-0.0024554446538289387,0.0005126530329386384,0.2028985507246377,,0.3246376811594203,-0.00030223846435546877,-0.0006106948852539063,-0.0012554168701171876,False,null_or_reverse
3,nominal_modifier_order,False,C,positive_control_advantage,positive_nonspecific,4426,basis,50,0,-2.0316868591308594,-2.032040023803711,-0.0003531646728515625,-0.001177234649658203,0.0004541969299316405,0.38780609695152424,0.32,0.32,0.0,0.00013781229654947916,-0.0007945321400960286,0.0011536738077799476,0.7746126936531734,,0.8606807707257482,-0.00017242431640625,-0.0003531646728515625,-0.000727386474609375,False,null_or_reverse
4,case_marking,False,B,null_or_reverse,null_or_reverse,13269,changed,50,2,-0.16212068557739256,-0.16274091720581055,-0.0006202316284179688,-0.0013347005844116212,0.0001572036743164054,0.10294852573713144,0.34,0.34,0.0,-0.0006170018513997395,-0.0014929048220316567,0.00017867247263590342,0.14192903548225888,,0.2580527917859252,-0.00031431198120117186,-0.0006202316284179688,-0.0012347984313964843,False,null_or_reverse
5,morphosyntactic_alignment,False,D,null_or_reverse,null_or_reverse,7247,basis,50,29,-0.9715000438690186,-0.9708639335632324,0.0006361103057861328,-0.0011099116802215576,0.002419416427612303,0.47876061969015493,0.34,0.34,0.0,0.000886542002360026,-0.0009916006724039713,0.002924601395924886,0.35082458770614694,,0.4838959830429613,0.0003186702728271484,0.0006361103057861328,0.0012723731994628907,True,positive_control_advantage
6,transitivity_valency,True,C,specific_positive,specific_positive,164,changed,50,0,0.42815704345703126,0.41086864471435547,-0.017288398742675782,-0.028496742248535156,-0.006961591720581057,0.001999000499750125,0.6,0.6,0.0,-0.024911371866861976,-0.03793853855133056,-0.01317812474568686,0.0009995002498750624,0.0021417862497322766,0.004442223332778055,-0.00855804443359375,-0.017288398742675782,-0.03527149200439453,False,null_or_reverse
7,voice_and_agent_prominence,False,A,positive_control_advantage,positive_control_advantage,8235,changed,50,50,-0.2613349342346191,-0.25966970443725584,0.0016652297973632811,-0.0016801280975341797,0.005113240242004394,0.33183408295852074,0.42,0.42,0.0,0.004159094492594402,0.0003262621561686208,0.008231731096903483,0.03498250874562719,,0.08231178528382868,0.0008380317687988281,0.0016652297973632811,0.0033205032348632814,True,positive_control_advantage
8,causativity_and_valency_change,False,D,positive_control_advantage,null_or_reverse,8182,changed,50,25,-0.6437032699584961,-0.6495832824707031,-0.0058800125122070316,-0.01787036657333374,0.005820906639099118,0.3288355822088955,0.3,0.3,0.0,-0.005317322413126629,-0.018612111091613773,0.007691625595092767,0.41679160419790107,,0.5557221389305347,-0.002936897277832031,-0.0058800125122070316,-0.011793375015258789,False,null_or_reverse
9,analytic_vs_synthetic_encoding,False,C,specific_positive,null_or_reverse,144,basis,50,2,0.03538631439208984,0.03603328704833984,0.00064697265625,-0.000295961856842041,0.0015686478614807123,0.18490754622688654,0.48,0.48,0.0,0.001049512227376302,2.07742055257143e-06,0.0021065346399943025,0.050974512743628186,,0.10731476367079618,0.00032268524169921876,0.00064697265625,0.0012901687622070312,True,positive_control_advantage
10,morphological_segmentation_type,True,B,specific_positive,specific_positive,15843,changed,50,0,-2.7905640029907226,-2.7846704864501954,0.005893516540527344,0.0031092767715454103,0.008772053718566892,0.0009995002498750624,0.28,0.28,0.0,0.005926551818847656,0.0030048942565917966,0.008968117078145342,0.0009995002498750624,0.0021417862497322766,0.004442223332778055,0.0029532623291015623,0.005893516540527344,0.01177001953125,True,specific_positive
11,agreement_indexing_density,True,C,specific_positive,specific_positive,758,changed,50,42,-2.0978459453582765,-2.102199468612671,-0.004353523254394531,-0.007493792057037354,-0.0011645824909210227,0.01199400299850075,0.1,0.1,0.0,0.003068100611368815,-0.001200517972310384,0.0074307226339976,0.1549225387306347,0.19365317341329336,0.25820423121772446,-0.002175922393798828,-0.004353523254394531,-0.00871145248413086,False,null_or_reverse
