variable_id,variable,inspection_grade,target_feature,ablation_category,ablation_mean_attenuation,ablation_attenuation_fraction,ablation_target_minus_control,ablation_fdr_q,ablation_final_repr_cosine,steering_category,steering_mean_attenuation,steering_attenuation_fraction,steering_target_minus_control,steering_fdr_q,steering_dose_monotonic,steering_final_repr_cosine,feature_high_side,steering_side,train_target_activation_gap,ablation_specific,steering_specific,primary_mechanistic,behavior_cohort,target_behavioral_effect,target_minus_control_behavioral_effect,primary_cohort_fdr_q,all40_exploratory_fdr_q,behavior_dose_monotonic,behavioral_category,n_pairs,bos_fallback_pairs,full_chain_primary
1,Subject expression / pro-drop,C,8041,specific_positive,0.0045329070091247,0.0087910009222223,0.0084907678444869,0.0016658337497916,0.9999849360787584,positive_control_advantage,0.0005524319410324,0.0010713720121116,6.672881660051644e-05,0.9775112443778112,False,0.9999992024954012,changed,basis,0.0070967525243758,True,False,False,secondary_one_direction,0.001155891418457,0.0010498301188151,,0.0257014349967873,True,specific_positive,50,0,False
2,basic_constituent_order,C,932,positive_control_advantage,0.0013395452499389,0.0078441100301852,0.0010856121541291,0.3440703890479002,0.9999993111188188,positive_control_advantage,0.001832491159439,0.0107307030386893,0.0005223431682679,0.3160919540229885,True,0.9999986326471796,changed,basis,0.016185056505492,False,False,False,exploratory,-0.0006106948852539,-0.0009491221110026,,0.3246376811594203,False,null_or_reverse,50,0,False
3,nominal_modifier_order,C,4426,positive_control_advantage,0.0001210322976112,0.0010749542051885,0.0001010220158059,0.6450828639734187,0.9999999588446664,positive_nonspecific,0.000806953497231,0.0071669965154783,-0.0005894842336419,0.593216905060983,True,0.999998545932372,basis,changed,0.0148064007516949,False,False,False,exploratory,-0.0003531646728515,0.0001378122965494,,0.8606807707257482,False,null_or_reverse,50,0,False
4,case_marking,B,13269,null_or_reverse,-0.0022015404701232,-0.0026318648310263,-4.5286215099622494e-05,0.992503748125937,0.9999985597012424,null_or_reverse,-0.0011401659250259,-0.001363028588542,2.6398098561912775e-05,0.9775112443778112,True,0.99999841147638,changed,basis,0.0063829266000539,False,False,False,exploratory,-0.0006202316284179,-0.0006170018513997,,0.2580527917859252,False,null_or_reverse,50,2,False
5,morphosyntactic_alignment,D,7247,null_or_reverse,-0.007726310417056,-0.0074379468328959,-0.007803777353838,0.0016658337497916,0.9999943750843432,null_or_reverse,-0.0047972094267606,-0.004618166593947,-0.0019100429513491,0.2358820589705147,False,0.999998349944026,basis,changed,0.018862634897232,False,False,False,exploratory,0.0006361103057861,0.00088654200236,,0.4838959830429613,True,positive_control_advantage,50,29,False
6,transitivity_valency,C,164,specific_positive,0.0563083413243293,0.0662480647786952,0.0568335809931159,0.0016658337497916,0.9997688628632292,specific_positive,0.0040530133247375,0.0047684638362827,0.0078131579980254,0.0019990004997501,True,0.99998975325136,changed,basis,0.1158495247364044,True,True,True,primary_bidirectional,-0.0172883987426757,-0.0249113718668619,0.0021417862497322,0.004442223332778,False,null_or_reverse,50,0,False
7,voice_and_agent_prominence,A,8235,positive_control_advantage,0.0031810307502746,0.0054465780825832,0.0005036636913428,0.6796601699150425,0.9999961823990215,positive_control_advantage,0.0022878076136112,0.0039171965893086,0.0010557712917216,0.0947674310992651,True,0.9999980023585652,changed,basis,0.0332987844012677,False,False,False,exploratory,0.0016652297973632,0.0041590944925944,,0.0823117852838286,True,positive_control_advantage,50,50,False
8,causativity_and_valency_change,D,8182,positive_control_advantage,0.0173340912163257,0.0183462540446189,0.0147182281315326,0.2140865051345294,0.9987583731843676,null_or_reverse,-0.0009341183304786,-0.0009886628600728,0.0023359061649534,0.1819779765289769,False,0.9999852427730528,changed,basis,0.1381961107254028,False,False,False,exploratory,-0.005880012512207,-0.0053173224131266,,0.5557221389305347,False,null_or_reverse,50,25,False
9,analytic_vs_synthetic_encoding,C,144,specific_positive,0.0017141475528478,0.0024400306825633,0.0021249560196883,0.0199900049975011,0.9999993032125812,null_or_reverse,-0.0002118302136659,-0.0003015330972996,-0.001213891695952,0.2772807144814689,False,0.999998559181725,basis,changed,0.0101610883139073,True,False,False,secondary_one_direction,0.00064697265625,0.0010495122273763,,0.1073147636707961,True,positive_control_advantage,50,2,False
10,morphological_segmentation_type,B,15843,specific_positive,0.0062553932145237,0.0132049433473047,0.0064514211974892,0.0016658337497916,0.9999971629444054,specific_positive,0.0040750418230891,0.0086022883880187,0.0046045560122001,0.0019990004997501,True,0.9999986186631672,changed,basis,0.0252483123913406,True,True,True,primary_bidirectional,0.0058935165405273,0.0059265518188476,0.0021417862497322,0.004442223332778,True,specific_positive,50,0,True
