variable_id,variable,inspection_grade,target_feature,ablation_category,ablation_mean_attenuation,ablation_attenuation_fraction,ablation_target_minus_control,ablation_fdr_q,ablation_final_repr_cosine,steering_category,steering_mean_attenuation,steering_attenuation_fraction,steering_target_minus_control,steering_fdr_q,dose_monotonic_non_decreasing,steering_final_repr_cosine,feature_high_side,steering_side,train_target_activation_gap,ablation_specific,steering_specific,primary_mechanistic,behavior_cohort
6,transitivity_valency,C,164,specific_positive,0.0563083413243293,0.0662480647786952,0.0568335809931159,0.0016658337497916,0.9997688628632292,specific_positive,0.0040530133247375,0.0047684638362827,0.0078131579980254,0.0019990004997501,True,0.99998975325136,changed,basis,0.1158495247364044,True,True,True,primary_bidirectional
10,morphological_segmentation_type,B,15843,specific_positive,0.0062553932145237,0.0132049433473047,0.0064514211974892,0.0016658337497916,0.9999971629444054,specific_positive,0.0040750418230891,0.0086022883880187,0.0046045560122001,0.0019990004997501,True,0.9999986186631672,changed,basis,0.0252483123913406,True,True,True,primary_bidirectional
11,agreement_indexing_density,C,758,specific_positive,0.0309038568660616,0.0244826822778818,0.0327486310328822,0.0016658337497916,0.9999659736997992,specific_positive,0.0021840286627411,0.001730233221938,0.0036034640920115,0.0019990004997501,True,0.9999968460012858,changed,basis,0.0631903102621436,True,True,True,primary_bidirectional
14,definiteness_and_specificity,C,12995,specific_positive,0.0042810952663421,0.0085068321869074,0.0041803996515227,0.0016658337497916,0.9999984955700107,specific_positive,0.0024366260319948,0.004841744335706,0.0025705408502835,0.0019990004997501,True,0.999999059231852,basis,changed,0.0107368240132928,True,True,True,primary_bidirectional
16,gender_noun_class,A,5205,specific_positive,0.2176717770099639,0.1728198829400907,0.2281106891483068,0.0016658337497916,0.9998855479626662,specific_positive,0.078627188205719,0.0624258305246381,0.0788598768413066,0.0019990004997501,True,0.9999869203550916,changed,basis,0.1237051449716091,True,True,True,primary_bidirectional
17,animacy_and_humanness,D,6618,specific_positive,0.1338481151312589,0.1726707971080854,0.1388773633027449,0.0016658337497916,0.9999538745170636,specific_positive,0.0217434295266866,0.028050117138778,0.0213788588903844,0.0019990004997501,True,0.9999984323755996,changed,basis,0.0211688708513974,True,True,True,primary_bidirectional
19,inclusive_exclusive_distinction,C,6062,specific_positive,0.0011093364655971,0.0073168524161454,0.0032328743790276,0.0016658337497916,0.9999994298447058,specific_positive,0.0024354866333305,0.0160637433368623,0.0017695605085464,0.0019990004997501,True,0.999999379747562,basis,changed,0.0077425763010978,True,True,True,primary_bidirectional
20,pronoun_richness_and_reduction,A,6944,specific_positive,0.0048463994264602,0.0112297299620931,0.0117137125704903,0.0016658337497916,0.9999987618889086,specific_positive,0.002534921914339,0.0058737396710637,0.0017693548370152,0.003634546363182,True,0.9999989671339722,basis,changed,0.0237159398384392,True,True,True,primary_bidirectional
21,possession_and_alienability,C,15325,specific_positive,0.0311791571974754,0.0588814908300227,0.0338201429136097,0.0016658337497916,0.999981673274182,specific_positive,0.0141997880488634,0.0268161414528266,0.0133401665790006,0.0019990004997501,True,0.999996508706814,changed,basis,0.0507176965475083,True,True,True,primary_bidirectional
23,aspect_and_event_structure,B,6216,specific_positive,0.0020919579267501,0.0091515146300201,0.0119305198010988,0.0016658337497916,0.9999990838327172,specific_positive,0.0018992307409644,0.0083084070140553,0.004181621101452,0.0019990004997501,True,0.9999982816259202,basis,changed,0.021952417679131,True,True,True,primary_bidirectional
24,modality_and_mood,A,13197,specific_positive,0.0083335989341139,0.0500595251894781,0.0106215898586378,0.0016658337497916,0.999996305497667,specific_positive,0.0071163379773497,0.0427474975758304,0.010905666667968,0.0019990004997501,True,0.9999985914298538,changed,basis,0.0219288286752998,True,True,True,primary_bidirectional
27,mirativity_stance_and_affect_marking,C,1887,specific_positive,0.0041602659225463,0.0053382363119973,0.010581324819941,0.0016658337497916,0.9999996436787996,specific_positive,0.0062621229887008,0.0080352297066664,0.0037777545547578,0.0019990004997501,True,0.999997858502952,changed,basis,0.0355112140532583,True,True,True,primary_bidirectional
29,quantifier_scope_and_distributivity,B,8551,specific_positive,0.0058206575363874,0.0151506578484993,0.008296066053881,0.0016658337497916,0.9999970057717406,specific_positive,0.0034690669178962,0.0090296750148978,0.0045554359373636,0.0019990004997501,True,0.9999986409316208,changed,basis,0.0230952072888613,True,True,True,primary_bidirectional
32,quotation_and_reported_speech_structure,B,1754,specific_positive,0.0075379133224487,0.0066025408765366,0.0090241670992691,0.0016658337497916,0.9999935192708496,specific_positive,0.0065765798091888,0.0057604983183686,0.0080803630175068,0.0019990004997501,True,0.9999979520373908,basis,changed,0.0423803681042046,True,True,True,primary_bidirectional
37,social_deixis_honorifics_status_encoding,A,2081,specific_positive,0.0048819093592464,0.0059450958121783,0.0047736289992462,0.0016658337497916,0.99999928361671,specific_positive,0.005791796632111,0.0070531391242107,0.0057930633611977,0.0019990004997501,True,0.9999983055986778,changed,basis,0.0285831007640809,True,True,True,primary_bidirectional
