variable_id,variable,inspection_grade,ablation_screen_category,split,dose,primary_dose,target_feature,feature_high_side,steering_side,train_target_activation_gap,control_features,target_mean_attenuation,matched_control_mean_attenuation,target_minus_control_attenuation,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_bootstrap_p,target_vs_control_fdr_q,target_mean_attenuation_primary,target_attenuation_fraction_primary,target_final_repr_cosine_primary,target_attenuation_dose_0_5,target_attenuation_dose_1_0,target_attenuation_dose_2_0,dose_monotonic_non_decreasing,steering_screen_category
1,Subject expression / pro-drop,C,specific_positive,test,1.0,True,8041,changed,basis,0.007096752524375895,"9728,7247,1302",0.0005524319130927324,0.0004857031162828207,6.672881660051644e-05,-0.0010456197728344705,0.0012224955355050024,0.9405297351324338,0.9775112443778111,0.0005524319410324097,0.0010713720121116534,0.9999992024954012,0.0004920589923858642,0.0005524319410324097,-0.0007972604036331176,False,positive_control_advantage
2,basic_constituent_order,C,positive_control_advantage,test,1.0,True,932,changed,basis,0.016185056505492,"1887,1302,7136",0.0018324911361560225,0.0013101479271426797,0.0005223431682679803,-0.0003632215584511869,0.0014230368184507821,0.25287356321839083,0.3160919540229885,0.0018324911594390868,0.01073070303868934,0.9999986326471795,0.001280488520860672,0.0018324911594390868,0.004518290460109711,True,positive_control_advantage
3,nominal_modifier_order,C,positive_control_advantage,test,1.0,True,4426,basis,changed,0.014806400751694999,"8685,1385,12995",0.0008069535251706839,0.0013964378740638494,-0.000589484233641997,-0.002369527343194932,0.0011671814584988157,0.5487256371814093,0.593216905060983,0.0008069534972310066,0.0071669965154783875,0.9999985459323721,5.047563463449478e-06,0.0008069534972310066,0.0024303977563977243,True,positive_nonspecific
4,case_marking,B,null_or_reverse,test,1.0,True,13269,changed,basis,0.0063829266000539,"6618,4814,12995",-0.00114016595762223,-0.0011665640631690621,2.6398098561912775e-05,-0.001260300562076736,0.0011847346142167222,0.9775112443778111,0.9775112443778111,-0.00114016592502594,-0.0013630285885420524,0.9999984114763799,-0.002782292366027832,-0.00114016592502594,0.00021328985691070556,True,null_or_reverse
5,morphosyntactic_alignment,D,null_or_reverse,test,1.0,True,7247,basis,changed,0.018862634897232,"1302,8041,9728",-0.004797209519892931,-0.0028871663380414248,-0.001910042951349169,-0.0047717823462444355,0.0008469139498192775,0.17691154422788605,0.23588205897051473,-0.004797209426760674,-0.004618166593947,0.9999983499440259,7.651515305042267e-05,-0.004797209426760674,-0.003086834326386452,False,null_or_reverse
6,transitivity_valency,C,specific_positive,test,1.0,True,164,changed,basis,0.11584952473640447,"7247,8041,9728",0.004053013399243355,-0.0037601448129862547,0.007813157998025417,0.004956112960702739,0.010826071170682553,0.0009995002498750624,0.001999000499750125,0.004053013324737549,0.004768463836282715,0.99998975325136,0.0006538283824920654,0.004053013324737549,0.0125539231300354,True,specific_positive
7,voice_and_agent_prominence,A,positive_control_advantage,test,1.0,True,8235,changed,basis,0.0332987844012677,"9728,8041,7247",0.0022878076415508986,0.0012320363894104958,0.0010557712917216122,-6.485854540369474e-05,0.002123294742166763,0.063968015992004,0.09476743109926516,0.0022878076136112215,0.003917196589308677,0.9999980023585651,0.0011262652277946473,0.0022878076136112215,0.005976730436086655,True,positive_control_advantage
8,causativity_and_valency_change,D,positive_control_advantage,test,1.0,True,8182,changed,basis,0.13819611072540283,"164,7247,8041",-0.0009341183467768133,-0.0032700246665626764,0.0023359061649534853,-0.0005836393807840067,0.005409474536543711,0.13193403298350825,0.1819779765289769,-0.0009341183304786683,-0.0009886628600728872,0.9999852427730529,-0.0026300278306007384,-0.0009341183304786683,-0.007951837107539177,False,null_or_reverse
9,analytic_vs_synthetic_encoding,C,specific_positive,test,1.0,True,144,basis,changed,0.010161088313907399,"758,6216,6900",-0.00021183020726311952,0.0010020615300163627,-0.0012138916959520429,-0.003082669974392047,0.0005765085848106519,0.21489255372313842,0.2772807144814689,-0.0002118302136659622,-0.00030153309729969173,0.999998559181725,0.0003817451000213623,-0.0002118302136659622,0.0011375807970762254,False,null_or_reverse
10,morphological_segmentation_type,B,specific_positive,test,1.0,True,15843,changed,basis,0.025248312391340698,"8685,6618,5205",0.004075041972100735,-0.0005295141600072384,0.0046045560122001915,0.0033000407624349465,0.00596264953672653,0.0009995002498750624,0.001999000499750125,0.004075041823089123,0.008602288388018776,0.9999986186631673,-0.0007242006063461304,0.004075041823089123,0.008110714033246041,True,specific_positive
11,agreement_indexing_density,C,specific_positive,test,1.0,True,758,changed,basis,0.06319031026214361,"7247,5205,8041",0.00218402873724699,-0.0014194354880601168,0.0036034640920115635,0.0023616812514665074,0.00486009039239434,0.0009995002498750624,0.001999000499750125,0.002184028662741184,0.0017302332219380938,0.9999968460012858,0.001098289266228676,0.002184028662741184,0.0033967604115605356,True,specific_positive
12,optionality_vs_obligatoriness_of_marking,D,null_or_reverse,test,1.0,True,9607,changed,basis,0.0020566713064909,"12995,6216,8551",0.000678685144521296,0.000525389623362571,0.00015329555099015125,-0.0002388400712516159,0.0005555806884949557,0.43778110944527737,0.5128864139358892,0.0006786851584911347,0.012363300459432038,0.9999990550805764,-6.0372091829776765e-05,0.0006786851584911347,-0.00030512087047100065,False,positive_control_advantage
13,redundancy_cumulative_exponence,B,null_or_reverse,test,1.0,True,4814,changed,basis,0.02246557921171191,"7247,8041,5205",-0.0014132128562778234,-0.0005453773192130029,-0.0008678356622112915,-0.001518786521293805,-0.0002689746446412756,0.001999000499750125,0.003634546363182045,-0.001413212977349758,-0.02861394915847686,0.9999984500490083,-0.000591881051659584,-0.001413212977349758,-0.004013241939246654,False,null_or_reverse
14,definiteness_and_specificity,C,specific_positive,test,1.0,True,12995,basis,changed,0.0107368240132928,"3132,13197,15325",0.0024366260040551424,-0.00013391482934821397,0.002570540850283578,0.0014187704769428819,0.0037197849172225686,0.0009995002498750624,0.001999000499750125,0.0024366260319948195,0.004841744335706013,0.999999059231852,0.0015348849818110466,0.0024366260319948195,0.0036777013912796972,True,specific_positive
15,number_marking,B,positive_nonspecific,test,1.0,True,8685,changed,basis,0.0219481493113563,"5205,758,9728",0.0038829378318041563,0.0018819347023963928,0.0020010031154379247,0.0005182725611666683,0.0034784129653708078,0.01199400299850075,0.01999000499750125,0.003882937878370285,0.028698102990222383,0.9999982629218036,0.0010034727677702903,0.003882937878370285,0.009101310595870018,True,specific_positive
16,gender_noun_class,A,specific_positive,test,1.0,True,5205,changed,basis,0.1237051449716091,"7247,8041,9728",0.07862719148397446,-0.00023268861696124077,0.07885987684130669,0.0748379871211946,0.08307594434916972,0.0009995002498750624,0.001999000499750125,0.078627188205719,0.06242583052463817,0.9999869203550916,0.035635564923286435,0.078627188205719,0.17848546028137208,True,specific_positive
17,animacy_and_humanness,D,specific_positive,test,1.0,True,6618,changed,basis,0.021168870851397497,"5205,7247,8041",0.02174343168735504,0.0003645707620307803,0.021378858890384437,0.019989059729035943,0.022651024607010187,0.0009995002498750624,0.001999000499750125,0.021743429526686668,0.02805011713877808,0.9999984323755997,0.008328519687056541,0.021743429526686668,0.04661599598824978,True,specific_positive
18,person_marking_and_person_hierarchy,B,null_or_reverse,test,1.0,True,13235,changed,basis,0.0016332971863449,"12995,6944,6216",0.0006930452072992921,0.0006439045537263155,4.914063611067831e-05,-0.0013320112542423886,0.0014755481379979752,0.9665167416291854,0.9775112443778111,0.0006930451840162277,0.0018483762362024965,0.9999989930104991,0.0004650592431426048,0.0006930451840162277,0.0010946991294622421,True,positive_control_advantage
19,inclusive_exclusive_distinction,C,specific_positive,test,1.0,True,6062,basis,changed,0.0077425763010978005,"9728,8041,15325",0.0024354865308851004,0.0006659261998720467,0.0017695605085464195,0.0009451171918190084,0.0026280458213732336,0.0009995002498750624,0.001999000499750125,0.0024354866333305835,0.01606374333686237,0.9999993797475619,0.0019404111988842487,0.0024354866333305835,0.003005904331803322,True,specific_positive
20,pronoun_richness_and_reduction,A,specific_positive,test,1.0,True,6944,basis,changed,0.0237159398384392,"8041,9728,6618",0.002534921746701002,0.0007655671215616167,0.0017693548370152712,0.0006726276586414315,0.002923945006856229,0.001999000499750125,0.003634546363182045,0.0025349219143390657,0.005873739671063704,0.9999989671339722,0.0009379844926297665,0.0025349219143390657,0.005669977553188801,True,specific_positive
21,possession_and_alienability,C,specific_positive,test,1.0,True,15325,changed,basis,0.0507176965475083,"4426,7247,8041",0.014199788682162762,0.0008596215629950166,0.013340166579000652,0.011015499336412176,0.01553300369356293,0.0009995002498750624,0.001999000499750125,0.014199788048863411,0.0268161414528266,0.9999965087068141,0.006825981866568327,0.014199788048863411,0.02438522346317768,True,specific_positive
22,tense_prominence,C,null_or_reverse,test,1.0,True,1385,basis,changed,0.0135760980192572,"8551,3132,758",0.004445300903171301,-0.00023221741139423102,0.004677518396638334,0.0034183184551075103,0.005921897104592061,0.0009995002498750624,0.001999000499750125,0.004445300959050655,0.007789665279953039,0.9999986091163455,0.001909963432699442,0.004445300959050655,0.00936011403799057,True,specific_positive
23,aspect_and_event_structure,B,specific_positive,test,1.0,True,6216,basis,changed,0.021952417679131,"8685,6618,758",0.0018992307595908642,-0.002282390370965004,0.004181621101452038,0.002564094323286554,0.005788593807024881,0.0009995002498750624,0.001999000499750125,0.0018992307409644127,0.008308407014055332,0.9999982816259202,0.0013874569907784463,0.0018992307409644127,0.003943982422351837,True,specific_positive
24,modality_and_mood,A,specific_positive,test,1.0,True,13197,changed,basis,0.021928828675299897,"15325,6618,5205",0.007116337306797504,-0.0037893287371844053,0.010905666667968035,0.01009967748215422,0.011633851556573063,0.0009995002498750624,0.001999000499750125,0.007116337977349758,0.04274749757583043,0.9999985914298538,0.002649711025878787,0.007116337977349758,0.01669171644374728,True,specific_positive
25,epistemic_modality,A,positive_nonspecific,test,1.0,True,15221,changed,basis,0.027596618980169303,"8041,9728,7247",0.006633768789470196,0.0034083446953445673,0.003225424560951069,0.0020249346037453505,0.004231099690514384,0.0009995002498750624,0.001999000499750125,0.006633768975734711,0.025918128269568977,0.9999986501575203,0.0015615259110927581,0.006633768975734711,0.013832336217164993,True,specific_positive
26,evidentiality,B,positive_control_advantage,test,1.0,True,6900,changed,basis,0.0339163499884308,"6618,1302,11461",0.001383989118039608,-0.003518512472510338,0.004902501761680469,0.002547410340397619,0.007250088249362306,0.0009995002498750624,0.001999000499750125,0.001383989080786705,0.0035848914847593566,0.999997884741929,0.0023699963837862017,0.001383989080786705,0.001967649459838867,False,specific_positive
27,mirativity_stance_and_affect_marking,C,specific_positive,test,1.0,True,1887,changed,basis,0.0355112140532583,"8041,9728,7247",0.006262123119086027,0.0024843686260282993,0.0037777545547578485,0.0026332205343060195,0.004855036546330665,0.0009995002498750624,0.001999000499750125,0.006262122988700867,0.008035229706666402,0.999997858502952,0.003030768036842346,0.006262122988700867,0.013266062140464783,True,specific_positive
28,negation_and_polarity_structure,D,null_or_reverse,test,1.0,True,4382,changed,basis,0.0022940805647523005,"1385,6900,8685",0.0007026185048744082,-0.001999259926378727,0.0027018784987740217,0.0012803466439945622,0.004049966475518886,0.0009995002498750624,0.001999000499750125,0.0007026185467839241,0.0027462183822169295,0.9999992433217706,-0.001962956711649895,0.0007026185467839241,-0.0001773511618375778,False,specific_positive
29,quantifier_scope_and_distributivity,B,specific_positive,test,1.0,True,8551,changed,basis,0.023095207288861302,"1858,7247,9728",0.0034690669272094965,-0.0010863690404221416,0.004555435937363655,0.0038620124477893114,0.0052700325685436835,0.0009995002498750624,0.001999000499750125,0.003469066917896271,0.00902967501489786,0.9999986409316207,0.001259914543479681,0.003469066917896271,0.006476449836045503,True,specific_positive
30,conditional_and_counterfactual_marking,B,positive_control_advantage,test,1.0,True,11810,changed,basis,0.0153300108504482,"6944,758,6216",0.0006226709228940308,0.0008769336855039,-0.0002542627049842849,-0.001027644663307001,0.0005147613417939271,0.5427286356821589,0.593216905060983,0.0006226709112524987,0.001321782606184376,0.9999987862853663,-0.0009880197420716287,0.0006226709112524987,0.0028679877892136573,True,positive_nonspecific
31,subordination_and_embedding,B,positive_nonspecific,test,1.0,True,11461,changed,basis,0.0647963978117332,"7247,8041,9728",0.008766749873757362,-3.363283758517355e-05,0.008800382991321385,0.007067755676689558,0.010656538505107165,0.0009995002498750624,0.001999000499750125,0.00876675009727478,0.35221449927437254,0.9999957929867446,0.004516501426696778,0.00876675009727478,0.016302360296249388,True,specific_positive
32,quotation_and_reported_speech_structure,B,specific_positive,test,1.0,True,1754,basis,changed,0.042380368104204605,"6618,5205,11461",0.006576579995453358,-0.001503783161751926,0.008080363017506897,0.006898803743417375,0.009245776035939342,0.0009995002498750624,0.001999000499750125,0.006576579809188843,0.005760498318368676,0.9999979520373908,0.0027113980054855346,0.006576579809188843,0.011148221492767334,True,specific_positive
33,discourse_relation_marking,D,null_or_reverse,test,1.0,True,9728,basis,changed,0.0019506383687258044,"8041,7247,6618",0.0004136555944569409,-0.000301219813991338,0.0007148754136869684,7.958413455344272e-05,0.001331565164073254,0.025987006496751622,0.0399800099950025,0.0004136556014418602,0.0032441696595813707,0.9999989981579795,0.00023573748767375947,0.0004136556014418602,-0.0011318235844373704,False,specific_positive
34,topic_comment_structure,D,positive_nonspecific,test,1.0,True,1302,changed,basis,0.0049818903207779,"1887,8041,7247",0.00030150890233926475,0.0014204512117430568,-0.001118942367611453,-0.0019330541400413494,-0.0002709454598079906,0.01199400299850075,0.01999000499750125,0.00030150890350341794,0.0004826397373269238,0.9999993754507069,0.0017824125289916991,0.00030150890350341794,0.0013987332582473754,False,positive_nonspecific
