variable_id,variable,sentence_activation_test_auroc,sentence_activation_test_auroc_ci_lower,sentence_activation_test_auroc_ci_upper,sentence_activation_val_auroc,sentence_activation_val_auroc_ci_lower,sentence_activation_val_auroc_ci_upper,sentence_best_text_test_auroc,sentence_best_text_test_auroc_ci_lower,sentence_best_text_test_auroc_ci_upper,sentence_best_text_model_kind,sentence_activation_minus_text,sentence_activation_minus_null,sentence_best_layer_idx,sentence_best_representation,sentence_possible_overfit,delta_direction_activation_test_auroc,delta_direction_activation_test_auroc_ci_lower,delta_direction_activation_test_auroc_ci_upper,delta_direction_activation_val_auroc,delta_direction_activation_val_auroc_ci_lower,delta_direction_activation_val_auroc_ci_upper,delta_direction_best_text_test_auroc,delta_direction_best_text_test_auroc_ci_lower,delta_direction_best_text_test_auroc_ci_upper,delta_direction_best_text_model_kind,delta_direction_activation_minus_text,delta_direction_best_layer_idx,delta_direction_best_representation,delta_direction_possible_overfit,train_marker_family_count,val_marker_family_count,test_marker_family_count,train_lexical_domain_count,val_lexical_domain_count,test_lexical_domain_count,test_has_heldout_marker_family,test_has_heldout_lexical_domain,test_marker_families_all_heldout_from_train,test_lexical_domains_all_heldout_from_train,test_marker_train_overlap_count,test_lexical_train_overlap_count,val_marker_train_overlap_count,val_lexical_train_overlap_count,split_control_strength,train_marker_families,test_marker_families,train_lexical_domains,test_lexical_domains,sentence_layer_stability_layer_stability_threshold,sentence_layer_stability_best_layer_idx,sentence_layer_stability_best_layer_name,sentence_layer_stability_best_representation,sentence_layer_stability_best_val_auroc,sentence_layer_stability_best_test_auroc,sentence_layer_stability_layers_above_threshold_count,sentence_layer_stability_max_adjacent_layers_above_threshold,sentence_layer_stability_signal_beyond_layer_2,sentence_layer_stability_layers_above_threshold,delta_direction_layer_stability_layer_stability_threshold,delta_direction_layer_stability_best_layer_idx,delta_direction_layer_stability_best_layer_name,delta_direction_layer_stability_best_representation,delta_direction_layer_stability_best_val_auroc,delta_direction_layer_stability_best_test_auroc,delta_direction_layer_stability_layers_above_threshold_count,delta_direction_layer_stability_max_adjacent_layers_above_threshold,delta_direction_layer_stability_signal_beyond_layer_2,delta_direction_layer_stability_layers_above_threshold,level_1_activation_recoverability_pass,level_1_threshold,level_2_text_evidence_category,level_2_text_artifact_status,level_2_activation_beats_text_pass,level_2_text_control_nonblocking,level_2_surface_visible_nonblocking,level_3_directional_consistency_pass,level_3_threshold,level_4_split_generalization_pass,level_4_has_test_marker_or_domain_holdout,level_4_strong_marker_and_domain_holdout,learned_activation_direction_viability_status,early_layer_artifact_risk,null_label_control_pass,possible_overfit_flag,evidence_status,ready_for_learned_activation_direction_viability,mechanistic_claim_allowed,claim_scope,recommended_next_action,viability_mode,representation,layer_idx,alpha,test_pairs_used,median_train_delta_norm,direction_effect_mean,direction_effect_median,direction_effect_positive_rate,reverse_direction_effect_mean,changed_probability_basis_mean,changed_probability_changed_mean,changed_probability_moved_basis_mean,changed_probability_reverse_moved_basis_mean,median_fraction_of_probe_gap_closed,learned_activation_direction_viability_pass,learned_activation_direction_viability_note
1,Subject expression / pro-drop,0.9503999999999999,0.9098311734745081,0.9818211014196563,0.9683999999999999,0.9353669776853237,0.9915703254404934,0.8332,0.748440194259522,0.9057793603096818,length_punct,0.11719999999999986,0.37639999999999996,12,mean_pooled,False,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.5,0.3899376517433896,0.6135602949787732,word_tfidf,0.5,0,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""agreement_recoverable_zero_subject"", ""overt_lexical_np_subject"", ""overt_pronoun_subject""]","[""contrastive_context_zero_subject"", ""coordinated_clause_zero_subject""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,12,layer_12,mean_pooled,0.9683999999999999,0.9503999999999999,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,A_activation_stronger_than_text,A_activation_stronger_than_text,True,True,False,True,0.65,True,True,True,failed,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue with activation stronger than text baseline,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.,learned_activation_direction_probe_check,mean_pooled,12.0,1.0,50.0,129.85903930664062,0.16637685894966125,0.04196854680776596,1.0,-5.90076160733588e-06,5.900781616219319e-06,0.007460219319909811,0.16638273000717163,2.0345496121176865e-11,174.15255737304688,False,Adding the learned basis-to-changed direction to held-out basis activations moved them toward the changed class under the selected probe.
2,basic_constituent_order,0.5928,0.4787428863910077,0.7085708550782818,0.9216000000000001,0.8599646464646463,0.9675560095642063,0.6178,0.5001950780312124,0.7236250501806503,char_tfidf,-0.025000000000000022,0.015600000000000058,8,mean_pooled,False,0.6220000000000001,0.5126044451871657,0.7304192467948717,0.9740000000000001,0.9474069734781123,0.9923350794863399,0.5002000000000001,0.4166641414141413,0.577401457367736,word_tfidf,0.12180000000000002,12,mean_pooled,False,2,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""canonical_sov_particle_marked_order"", ""english_argument_order_control""]","[""adjunct_intervened_order_shift"", ""object_fronting_role_preserved""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,8,layer_8,mean_pooled,0.9216000000000001,0.5928,0,0,False,[],0.7,12,layer_12,mean_pooled,0.9740000000000001,0.6220000000000001,3,3,True,"[21, 22, 23]",False,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,False,0.65,False,True,True,not_run,False,False,False,level1_failed_low_activation_recoverability,False,False,activation-recoverable structural cue; surface-visible text cue also present,Do not pursue this variable under the current model/dataset until activation recoverability improves.,,,,,,,,,,,,,,,,,
3,nominal_modifier_order,0.5312,0.4198948153286898,0.6415161697574343,0.8944,0.8264672946859902,0.9478888888888889,0.5142,0.39943812500000003,0.6286601740696278,length_punct,0.017000000000000015,0.03240000000000004,9,mean_pooled,False,0.5324,0.4195095984836878,0.6442508012820513,1.0,0.9999999999999999,1.0,0.5,0.5,0.5,word_tfidf,0.032399999999999984,10,mean_pooled,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""adjective_noun_order"", ""noun_adjective_order"", ""prenominal_possessive""]","[""relative_clause_modifier_order"", ""stacked_modifier_reordering""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,9,layer_9,mean_pooled,0.8944,0.5312,0,0,False,[],0.7,10,layer_10,mean_pooled,1.0,0.5324,10,3,True,"[3, 4, 5, 10, 11, 12, 17, 21, 22, 23]",False,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,False,0.65,False,True,True,not_run,False,False,False,level1_failed_low_activation_recoverability,False,False,activation-recoverable structural cue; surface-visible text cue also present,Do not pursue this variable under the current model/dataset until activation recoverability improves.,,,,,,,,,,,,,,,,,
4,case_marking,0.9916,0.9771634615384616,1.0,0.992,0.9786549088796964,0.999594200937951,0.982,0.9605302034182963,0.9963298286413709,char_tfidf,0.009600000000000053,0.48040000000000005,18,mean_pooled,False,0.966,0.9291623769507804,0.9931970373376623,1.0,0.9999999999999999,1.0,0.6301999999999999,0.5202036824345122,0.7392283775252525,word_tfidf,0.3358000000000001,8,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""canonical_case_order"", ""nominative_accusative_case"", ""nominative_dative_case""]","[""oblique_argument_case_marking"", ""role_reversal_case_change""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,18,layer_18,mean_pooled,0.992,0.9916,21,20,True,"[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,8,layer_8,mean_pooled,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,True,0.65,True,True,True,failed,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue; surface-visible text cue also present,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.,learned_activation_direction_probe_check,mean_pooled,18.0,1.0,50.0,135.35845947265625,0.9794474840164185,0.9992961883544922,1.0,-0.020552489906549454,0.020552489906549454,0.9278953671455383,1.0,1.9287500195714833e-22,1.0001885890960693,False,Adding the learned basis-to-changed direction to held-out basis activations moved them toward the changed class under the selected probe.
5,morphosyntactic_alignment,0.8208000000000001,0.7259772509003601,0.895059631642512,0.8516,0.7672230113636364,0.9184376645314145,0.8757999999999999,0.8054054961497755,0.9366224999999999,word_tfidf,-0.05499999999999983,0.2704000000000001,8,mean_pooled,False,0.9684,0.9367792767577251,0.9895836459583834,0.9808,0.9565076855511638,0.9963869931754314,0.844,0.7687134593214756,0.913671875,word_tfidf,0.12440000000000007,3,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""accusative_object_case"", ""intransitive_subject_frame"", ""nominative_subject_case""]","[""patient_like_subject_control"", ""role_swap_case_alignment""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,8,layer_8,mean_pooled,0.8516,0.8208000000000001,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,3,layer_3,final_token,0.9808,0.9684,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,C_text_stronger_than_activation,C_text_stronger_than_activation,False,True,True,True,0.65,True,True,True,passed,False,True,False,levels1_3_4_5_passed_direction_viability_candidate,True,True,activation-recoverable structural cue; surface-visible text cue also present,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.,learned_activation_direction_probe_check,mean_pooled,8.0,1.0,50.0,228.54241943359375,0.34339413046836853,0.0692216008901596,0.98,-0.19487528502941132,0.295175701379776,0.8114084005355835,0.6385698318481445,0.10030045360326767,0.9997488260269165,True,Adding the learned basis-to-changed direction to held-out basis activations moved them toward the changed class under the selected probe.
6,transitivity_valency,0.9644,0.9290793749999999,0.9907963185274109,0.864,0.7825031004547334,0.9294013127060373,0.9964,0.9889259178743962,1.0,length_punct,-0.03199999999999992,0.32799999999999996,14,final_token,False,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.5,0.5,0.5,word_tfidf,0.5,0,final_token,False,3,2,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""ditransitive_frame"", ""intransitive_frame"", ""transitive_frame""]","[""caused_motion_frame"", ""instrument_frame""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,14,layer_14,final_token,0.864,0.9644,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,True,0.65,True,True,True,failed,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue; surface-visible text cue also present,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.,learned_activation_direction_probe_check,final_token,14.0,1.0,50.0,17.498432159423828,0.01886036805808544,0.00018265843391418457,0.9,-0.9811396598815918,0.9811396598815918,1.0,1.0,3.415415150698209e-08,1.0,False,Adding the learned basis-to-changed direction to held-out basis activations moved them toward the changed class under the selected probe.
7,voice_and_agent_prominence,0.8595999999999999,0.7856362592834204,0.9204633838383838,1.0,0.9999999999999999,1.0,0.6286,0.50755509860127,0.736398042929293,word_tfidf,0.23099999999999987,0.2195999999999999,0,final_token,False,0.98,0.9560702405282676,0.9967987515006002,1.0,0.9999999999999999,1.0,0.875,0.8040315413752913,0.9328866988629307,word_tfidf,0.10499999999999998,0,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""active_voice"", ""agentless_passive"", ""by_phrase_passive""]","[""impersonal_voice"", ""middle_like_voice""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,19,layer_19,final_token,1.0,0.988,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,17,layer_17,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,A_activation_stronger_than_text,A_activation_stronger_than_text,True,True,False,True,0.65,True,True,True,passed,False,True,False,levels1_3_4_5_passed_direction_viability_candidate,True,True,activation-recoverable structural cue with activation stronger than text baseline,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.,learned_activation_direction_probe_check,final_token,0.0,1.0,50.0,17.48274803161621,0.6297046542167664,0.9275062084197998,0.98,-0.37029534578323364,0.37029534578323364,0.8599141836166382,1.0,7.830875531356085e-11,1.0003317594528198,True,Adding the learned basis-to-changed direction to held-out basis activations moved them toward the changed class under the selected probe.
8,causativity_and_valency_change,0.8572,0.7732105795502312,0.9253717542270531,0.9952000000000001,0.9827926002131622,1.0,0.7486,0.6536904580013824,0.8385746570277438,length_punct,0.10859999999999992,0.36560000000000004,13,final_token,False,0.9600000000000001,0.9212846377518021,0.9855769230769231,1.0,0.9999999999999999,1.0,0.47959999999999997,0.3645241477272728,0.5891433298107891,word_tfidf,0.4804000000000001,0,final_token,False,3,2,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""english_periphrastic_have_cause"", ""english_periphrastic_make_cause"", ""turkish_morphological_causative""]","[""causer_added_morphological"", ""coercive_causative""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,13,layer_13,final_token,0.9952000000000001,0.8572,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,13,layer_13,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,A_activation_stronger_than_text,A_activation_stronger_than_text,True,True,False,True,0.65,True,True,True,passed,False,True,False,levels1_3_4_5_passed_direction_viability_candidate,True,True,activation-recoverable structural cue with activation stronger than text baseline,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.,learned_activation_direction_probe_check,final_token,13.0,1.0,50.0,27.717723846435547,0.7080732583999634,0.9928210973739624,1.0,-0.2919267416000366,0.2919267416000366,0.8697623610496521,1.0,1.0499072723669916e-21,1.048945426940918,True,Adding the learned basis-to-changed direction to held-out basis activations moved them toward the changed class under the selected probe.
9,analytic_vs_synthetic_encoding,0.9952,0.9863941490057562,1.0,1.0,0.9999999999999999,1.0,0.978,0.951092612108524,0.9956073727422003,word_tfidf,0.017199999999999993,0.41159999999999997,7,mean_pooled,False,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.5197999999999999,0.4081422463768117,0.6322565786314526,word_tfidf,0.48020000000000007,0,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""english_function_word_relation"", ""english_prepositional_relation"", ""turkish_bound_case_relation""]","[""analytic_to_synthetic_parallel"", ""turkish_multi_suffix_compression""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,7,layer_7,mean_pooled,1.0,0.9952,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,0,layer_0,final_token,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,B_activation_comparable_to_text,B_activation_comparable_to_text,False,True,True,True,0.65,True,True,True,failed,False,True,False,levels1_3_4_passed_ready_for_learned_activation_direction_viability,True,False,activation-recoverable structural cue; surface-visible text cue also present,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.,learned_activation_direction_probe_check,mean_pooled,7.0,1.0,50.0,119.79679870605469,0.9868629574775696,0.9999444484710693,1.0,-0.013137097470462322,0.013137097470462322,0.8212816119194031,1.0,9.3116115758355e-20,1.020545244216919,False,Adding the learned basis-to-changed direction to held-out basis activations moved them toward the changed class under the selected probe.
10,morphological_segmentation_type,0.9556,0.9126370028721755,0.98798125,0.9812,0.9569207755565994,0.9968031609195402,0.8608,0.772916958041958,0.933941098603688,word_tfidf,0.0948,0.35640000000000005,1,mean_pooled,False,0.9772000000000001,0.9503009744169921,0.9943977591036415,1.0,0.9999999999999999,1.0,0.5,0.5,0.5,word_tfidf,0.47720000000000007,0,final_token,False,3,1,2,6,2,3,True,True,True,True,0,0,0,0,strong_test_marker_and_domain_holdout,"[""hyphenated_morpheme_chain"", ""suffix_stack_surface"", ""unsegmented_agglutinated_form""]","[""derivational_inflectional_stack"", ""possessive_number_case_stack""]","[""community_services"", ""education"", ""engineering"", ""healthcare"", ""logistics"", ""workplace_operations""]","[""legal"", ""public_administration"", ""scientific_research""]",0.7,1,layer_1,mean_pooled,0.9812,0.9556,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.7,0,layer_0,mean_pooled,1.0,1.0,24,24,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",True,0.65,A_activation_stronger_than_text,A_activation_stronger_than_text,True,True,False,True,0.65,True,True,True,passed,False,True,False,levels1_3_4_5_passed_direction_viability_candidate,True,True,activation-recoverable structural cue with activation stronger than text baseline,Run the learned activation direction viability check before treating the direction as stable enough for deeper interpretation.,learned_activation_direction_probe_check,mean_pooled,1.0,1.0,50.0,34.676937103271484,0.9401081800460815,0.9990578889846802,1.0,-0.05989184230566025,0.05989184230566025,0.623506486415863,1.0,6.404969989158052e-20,1.5651472806930542,True,Adding the learned basis-to-changed direction to held-out basis activations moved them toward the changed class under the selected probe.
